Day,Date_Placeholder,Pillar,Content_Type,Caption_Hook,Visual_Direction,CTA,Hashtag_Set,Notes
Day 1,Week 1 - Monday,Transformation & Results,Reel,"Before you think you can't — watch this.","Close-up of a member achieving their first successful pose or holding a plank for 30 seconds. Text overlay: 'Week 1 vs. Week 8'",Tag someone who needs to see this,Set D,Film vertically in natural light. Keep under 30 seconds. Authentic reactions land better than perfection.
Day 2,Week 1 - Tuesday,Educational & Wellness,Carousel,"5 reasons your body craves movement every single morning","Slide 1: Bold headline on brand color. Slides 2–6: one reason per slide with icon and short explanation. Final slide: studio logo + CTA",Save this post,Set A,Design in Canva with brand fonts. Aim for 7 slides minimum. Save-worthy graphics double reach over time.
Day 3,Week 1 - Wednesday,Behind the Studio,Single Image,"This is what 6am looks like — and we wouldn't trade it for anything.","Wide shot of the studio floor in early morning light before class. Mats rolled out. Serene and inviting.",Book a free trial,Set B,Post between 6–8am for peak engagement. Natural window light is the whole vibe — skip the flash.
Day 4,Week 1 - Thursday,Community & Connection,Story,"This is the class that started it all — swipe to see why our members keep coming back.","3-frame Story sequence: Frame 1 is a bold text quote from a member. Frame 2 is a candid class photo. Frame 3 is a direct CTA to book.",DM us,Set C,Use the 'Countdown' sticker to a class opening if applicable. Stories with member quotes drive DM conversations consistently.
Day 5,Week 1 - Friday,Promotions & Programs,Carousel,"Everything you need to know about our [Program Name] — all in one place.","Slide 1: Program name and bold benefit statement. Slides 2–5: key details like schedule and price. Slide 6: Start date and sign-up CTA",Link in bio,Set E,Schedule for Friday morning when weekend sign-ups spike. Include a limited-spots callout if applicable.
Day 6,Week 1 - Saturday,Transformation & Results,Single Image,"She came in nervous. She left unstoppable.","Portrait of a member post-class — glowing and proud. Clean background. Natural smile. Warm tones.",Tag a friend,Set D,Get written consent before posting any member photo. A genuine smile beats a posed shot every time.
Day 7,Week 1 - Sunday,Engagement,Story Poll,"Quick question: what's your biggest barrier to working out consistently?","Two-option poll on brand background. Option A: 'Not enough time.' Option B: 'Low motivation.'",DM us,Set A,Story Polls boost algorithm reach. Reply to everyone who answers — it opens a natural DM conversation.
Day 8,Week 2 - Monday,Educational & Wellness,Reel,"Here's what actually happens to your body when you skip rest days.","Instructor speaking directly to camera with confidence. Text overlays for each key point. Keep under 45 seconds.",Save this post,Set A,Hook viewers in the first 2 seconds. Educational Reels perform best when delivered with authority.
Day 9,Week 2 - Tuesday,Behind the Studio,Carousel,"A day in the life of our studio — from open to close.","Slide 1: Studio at opening. Slides 2–7: candid moments throughout the day including setup and classes. Final slide: 'Come experience it yourself.'",Book a free trial,Set B,Capture content on a typical busy day. Mix wide shots with close details of mats and props.
Day 10,Week 2 - Wednesday,Community & Connection,Single Image,"This is what showing up for yourself actually looks like.","Flat lay of a member's class essentials: mat and water bottle and journal. Warm tones on a wooden or light surface.",Tag a friend,Set C,Encourage members to share their own flat lays and tag the studio. Reshare the best to Stories.
