Product Name,SKU,Category,Quantity in Stock,Cost Price,Selling Price,Profit Per Item,Profit Margin %,Reorder Level,Supplier,Supplier Contact,Notes
Soy Wax Candle - Lavender 8oz,SKU-001,Candles & Home,$42.00,$6.50,$24.00,$17.50,72.92%,15,Pure Wick Supplies,orders@example.com,Best seller - reorder weekly
Soy Wax Candle - Vanilla Bean 8oz,SKU-002,Candles & Home,$38.00,$6.50,$24.00,$17.50,72.92%,15,Pure Wick Supplies,orders@example.com,Second best seller
Reed Diffuser Set - Eucalyptus,SKU-003,Candles & Home,$24.00,$9.00,$32.00,$23.00,71.88%,10,Scent House Wholesale,info@example.com,Gift set popular Nov-Dec
Linen Tote Bag - Natural,SKU-004,Bags & Accessories,$56.00,$4.50,$18.00,$13.50,75.00%,20,EcoCarry Distributors,wholesale@example.com,Blank - can customise with print
Greeting Card Set x5 - Floral,SKU-005,Stationery,$30.00,$2.75,$12.00,$9.25,77.08%,25,Papery Lane,supply@example.com,Seasonal - replenish for holidays
Washi Tape Pack x3,SKU-006,Stationery,$19.00,$3.00,$10.00,$7.00,70.00%,20,Craft Source Co.,hello@example.com,Popular with planner community
Ceramic Mug - Speckled White 12oz,SKU-007,Kitchenware,$18.00,$7.25,$28.00,$20.75,74.11%,10,StoneBloom Ceramics,trade@example.com,Fragile - pack carefully
Wooden Phone Stand - Bamboo,SKU-008,Desk Accessories,$22.00,$8.00,$26.00,$18.00,69.23%,10,GreenDesk Supply,orders@example.com,Laser engrave custom logo option
Beeswax Lip Balm 3-Pack,SKU-009,Beauty & Wellness,$55.00,$2.00,$9.00,$7.00,77.78%,25,NaturalBase Labs,bulk@example.com,6-month shelf life - check dates
Reusable Produce Bag Set x6,SKU-010,Eco Living,$33.00,$4.25,$16.00,$11.75,73.44%,15,EcoCarry Distributors,wholesale@example.com,Pairs well with tote bag - bundle option
Enamel Pin - Motivational Quote,SKU-011,Accessories,$67.00,$2.50,$12.00,$9.50,79.17%,20,Pin Collective MFG,contact@example.com,Design in-house - 60 day lead time
Hand Sanitiser Spray 100ml,SKU-012,Beauty & Wellness,$41.00,$3.00,$11.00,$8.00,72.73%,20,CleanCo Wholesale,sales@example.com,Custom label available
Desktop Succulent Planter Set,SKU-013,Home & Garden,$14.00,$11.00,$38.00,$27.00,71.05%,8,Terracotta Trade,plant@example.com,Low stock - order ASAP
Personalised Keyring - Acrylic,SKU-014,Accessories,$48.00,$2.25,$14.00,$11.75,83.93%,15,ClearCraft Supplies,ops@example.com,High margin item - promote more
Linen Pouch Bag Small,SKU-015,Bags & Accessories,$35.00,$3.50,$13.00,$9.50,73.08%,15,EcoCarry Distributors,wholesale@example.com,Good for gift packaging upsell
