File,Folder,Type,Size (bytes)
05_TRANSACTION_MANAGEMENT/Appraisal_Management_SOP.docx,05_TRANSACTION_MANAGEMENT,DOCX,37599
05_TRANSACTION_MANAGEMENT/Closing_Day_Checklist.docx,05_TRANSACTION_MANAGEMENT,DOCX,37614
05_TRANSACTION_MANAGEMENT/Contract_To_Close_SOP.docx,05_TRANSACTION_MANAGEMENT,DOCX,37585
05_TRANSACTION_MANAGEMENT/Transaction_Checklist.docx,05_TRANSACTION_MANAGEMENT,DOCX,37288
12_CANVA_IMPORTABLE_TEMPLATES/Buyer_Consultation_Presentation.pptx,12_CANVA_IMPORTABLE_TEMPLATES,PPTX,35106
12_CANVA_IMPORTABLE_TEMPLATES/Listing_Presentation_Template.pptx,12_CANVA_IMPORTABLE_TEMPLATES,PPTX,36178
12_CANVA_IMPORTABLE_TEMPLATES/Monthly_Market_Update_Template.pptx,12_CANVA_IMPORTABLE_TEMPLATES,PPTX,32410
12_CANVA_IMPORTABLE_TEMPLATES/Social_Media_Content_Pack.pptx,12_CANVA_IMPORTABLE_TEMPLATES,PPTX,33551
03_SELLER_SERVICES/Listing_Marketing_Checklist.docx,03_SELLER_SERVICES,DOCX,37721
03_SELLER_SERVICES/Listing_Pipeline_Tracker.xlsx,03_SELLER_SERVICES,XLSX,5531
03_SELLER_SERVICES/Listing_Presentation_Script.docx,03_SELLER_SERVICES,DOCX,38035
03_SELLER_SERVICES/Price_Reduction_Scripts.docx,03_SELLER_SERVICES,DOCX,37840
03_SELLER_SERVICES/Pricing_Strategy_Guide.docx,03_SELLER_SERVICES,DOCX,37810
03_SELLER_SERVICES/Seller_Communication_SOP.docx,03_SELLER_SERVICES,DOCX,37602
11_BONUSES/365_Social_Media_Captions.csv,11_BONUSES,CSV,53370
11_BONUSES/Real_Estate_Marketing_Playbook.docx,11_BONUSES,DOCX,38431
11_BONUSES/Real_Estate_Scripts_Vault.docx,11_BONUSES,DOCX,39033
11_BONUSES/Top_Producer_Success_System.docx,11_BONUSES,DOCX,38162
01_LEAD_GENERATION/Cold_Outreach_Templates.docx,01_LEAD_GENERATION,DOCX,38346
01_LEAD_GENERATION/Digital_Lead_Nurture_Sequence.docx,01_LEAD_GENERATION,DOCX,37839
01_LEAD_GENERATION/Lead_Generation_CRM.xlsx,01_LEAD_GENERATION,XLSX,6444
01_LEAD_GENERATION/Open_House_Lead_System.docx,01_LEAD_GENERATION,DOCX,37829
01_LEAD_GENERATION/Referral_Partner_Scripts.docx,01_LEAD_GENERATION,DOCX,37734
01_LEAD_GENERATION/Social_Media_Lead_Strategy.docx,01_LEAD_GENERATION,DOCX,37899
01_LEAD_GENERATION/Sphere_Of_Influence_System.docx,01_LEAD_GENERATION,DOCX,37900
08_POST_CLOSING_RETENTION/Client_Reviews_Testimonials_System.docx,08_POST_CLOSING_RETENTION,DOCX,37918
08_POST_CLOSING_RETENTION/Post_Closing_Follow_Up_System.docx,08_POST_CLOSING_RETENTION,DOCX,38350
08_POST_CLOSING_RETENTION/Sphere_Of_Influence_Nurture_Plan.docx,08_POST_CLOSING_RETENTION,DOCX,37931
00_START_HERE/README_FIRST.txt,00_START_HERE,TXT,1636
07_COMPLIANCE_LEGAL/Agency_Relationship_Guide.docx,07_COMPLIANCE_LEGAL,DOCX,37515
07_COMPLIANCE_LEGAL/Disclosure_Requirements_Guide.docx,07_COMPLIANCE_LEGAL,DOCX,37726
07_COMPLIANCE_LEGAL/Fair_Housing_Compliance_Guide.docx,07_COMPLIANCE_LEGAL,DOCX,37769
07_COMPLIANCE_LEGAL/Real_Estate_Compliance_Guide.pdf,07_COMPLIANCE_LEGAL,PDF,3699
07_COMPLIANCE_LEGAL/Record_Keeping_Policy.docx,07_COMPLIANCE_LEGAL,DOCX,37463
09_BUSINESS_OPERATIONS/Annual_Business_Plan.docx,09_BUSINESS_OPERATIONS,DOCX,37388
09_BUSINESS_OPERATIONS/Business_Operations_Dashboard.xlsx,09_BUSINESS_OPERATIONS,XLSX,7821
09_BUSINESS_OPERATIONS/Commission_Tracking_System.docx,09_BUSINESS_OPERATIONS,DOCX,37736
09_BUSINESS_OPERATIONS/Real_Estate_Business_Growth_Workbook.pdf,09_BUSINESS_OPERATIONS,PDF,3219
09_BUSINESS_OPERATIONS/Weekly_Agent_Schedule_Template.docx,09_BUSINESS_OPERATIONS,DOCX,37664
04_NEGOTIATION/Counter_Offer_SOP.docx,04_NEGOTIATION,DOCX,37520
04_NEGOTIATION/Inspection_Negotiation_Scripts.docx,04_NEGOTIATION,DOCX,37910
04_NEGOTIATION/Multiple_Offer_Guide.docx,04_NEGOTIATION,DOCX,37830
04_NEGOTIATION/Offer_Negotiation_Scripts.docx,04_NEGOTIATION,DOCX,37904
10_NOTION_WORKSPACE/Active_Clients.csv,10_NOTION_WORKSPACE,CSV,1076
10_NOTION_WORKSPACE/Lead_Tracker.csv,10_NOTION_WORKSPACE,CSV,1536
10_NOTION_WORKSPACE/Listing_Inventory.csv,10_NOTION_WORKSPACE,CSV,820
10_NOTION_WORKSPACE/Notion_Workspace_Setup_Guide.md,10_NOTION_WORKSPACE,MD,3262
10_NOTION_WORKSPACE/Open_House_Tracker.csv,10_NOTION_WORKSPACE,CSV,627
10_NOTION_WORKSPACE/Real_Estate_Agent_OS_User_Guide.pdf,10_NOTION_WORKSPACE,PDF,4432
10_NOTION_WORKSPACE/Referral_Partner_Database.csv,10_NOTION_WORKSPACE,CSV,1234
10_NOTION_WORKSPACE/Showing_Feedback_Log.csv,10_NOTION_WORKSPACE,CSV,785
10_NOTION_WORKSPACE/Transaction_Pipeline.csv,10_NOTION_WORKSPACE,CSV,709
02_BUYER_SERVICES/Buyer_Consultation_Script.docx,02_BUYER_SERVICES,DOCX,38032
02_BUYER_SERVICES/Buyer_Pipeline_Tracker.xlsx,02_BUYER_SERVICES,XLSX,5458
02_BUYER_SERVICES/First_Time_Buyer_Guide.docx,02_BUYER_SERVICES,DOCX,38135
02_BUYER_SERVICES/Home_Showing_Checklist.docx,02_BUYER_SERVICES,DOCX,37569
02_BUYER_SERVICES/Offer_Writing_SOP.docx,02_BUYER_SERVICES,DOCX,37875
06_CLIENT_COMMUNICATION/Difficult_Conversation_Scripts.docx,06_CLIENT_COMMUNICATION,DOCX,37778
06_CLIENT_COMMUNICATION/Email_Templates.docx,06_CLIENT_COMMUNICATION,DOCX,38008
06_CLIENT_COMMUNICATION/Text_Templates.docx,06_CLIENT_COMMUNICATION,DOCX,37610
06_CLIENT_COMMUNICATION/Weekly_Update_Scripts.docx,06_CLIENT_COMMUNICATION,DOCX,37480
