Template #,Situation,Subject Line,First Paragraph
1,New client inquiry reply,Thank you for reaching out!,Thank you for your interest in my VA services! I'd love to learn more about how I can support your business.
2,Discovery call confirmation,Our call is confirmed - [Date/Time],I'm looking forward to our call on [Date] at [Time]. Here's the link: [link].
3,Proposal follow-up,Following up on your proposal,"Hi [Name], I wanted to follow up on the proposal I sent on [date]. Do you have any questions I can answer?"
4,Monthly invoice,Invoice for [Month] VA Services,Please find your invoice for [Month] attached. Payment is due by [date].
5,Monthly progress report,Your [Month] VA Report,Here's a summary of everything I accomplished for your business in [Month].
6,Vacation notice,I'll be out [dates] - here's what to expect,I wanted to give you advance notice that I'll be on vacation from [date] to [date].
7,Capacity update,I have a new availability opening,"Hi [Name], I have some capacity opening up next month if you'd like to increase your hours."
8,Rate increase notice,Service rate update effective [Date],I wanted to give you 30 days notice of a rate adjustment effective [date].
9,Referral thank you,Thank you for the referral!,Thank you so much for referring [Name] to me! I truly appreciate your trust and support.
10,Offboarding,Your final invoice and next steps,It's been a pleasure working with you. Attached is your final invoice and a summary of all work completed.
