Keyword,Style,Room,Est Volume,Competition,Tag Valid
boho wall art,Boho/Bohemian,Any,18K,Medium,YES
minimalist wall art,Minimalist,Any,15K,Medium,YES
farmhouse decor,Farmhouse,Any,30K,High,YES
cottagecore decor,Cottagecore,Any,12K,Low,YES
aesthetic room decor,Aesthetic,Bedroom,20K,Medium,YES
bedroom wall decor,General,Bedroom,20K,High,YES
living room decor,General,Living Room,25K,High,YES
kitchen wall art,General,Kitchen,12K,Medium,YES
bathroom wall art,General,Bathroom,10K,Medium,YES
nursery wall art,General,Nursery,18K,Medium,YES
gallery wall set,Style,Any,14K,Medium,YES
above bed decor,Placement,Bedroom,8K,Low,YES
large wall art,Size,Any,16K,High,YES
neutral wall art,Color,Any,10K,Low,YES
earth tone decor,Color,Any,8K,Low,YES
housewarming gift,Occasion,Any,35K,High,YES
new home gift,Occasion,Any,20K,Medium,YES
apartment decor,Context,Any,15K,Medium,YES
dorm room decor,Context,Any,12K,Low,YES
office decor,Room,Office,18K,Medium,YES
