Day,Date,Platform,Content Pillar,Caption Number to Use,Content Type,Hashtag Set to Use,Status,Notes
1,[Week 1 Monday],Instagram,Educational,Caption #1,Feed Post - Carousel or Single Image,Set 8: Skincare Tips,Scheduled,Double cleansing education — pair with flat lay of cleanser products
2,[Week 1 Tuesday],Instagram,Behind the Scenes,Caption #226,Feed Post - Single Image or Reel,Set 3: Behind the Scenes,Scheduled,Morning studio setup — photo of treatment bed or products laid out
3,[Week 1 Wednesday],Instagram,Promotional,Caption #91,Feed Post - Single Image,Set 2: Promotional Post,Scheduled,General booking CTA — pair with warm treatment room photo
4,[Week 1 Thursday],Instagram,Engagement,Caption #166,Feed Post - Single Image,Set 5: Engagement Post,Scheduled,Skincare step they skip — easy opener question for comments
5,[Week 1 Friday],Instagram,Testimonial & Social Proof,Caption #286,Feed Post - Single Image,Set 6: Testimonial / Reviews,Scheduled,Client message share — screenshot or stylized quote graphic
6,[Week 1 Saturday],Instagram,Optional,Optional,Optional,Optional,Optional,Weekend — post only if you have content ready; lower engagement day
7,[Week 1 Sunday],Instagram,Educational,Caption #4,Feed Post - Single Image,Set 8: Skincare Tips,Scheduled,SPF education — great Sunday self-care crossover post
8,[Week 2 Monday],Instagram,Educational,Caption #35,Feed Post - Carousel,Set 8: Skincare Tips,Scheduled,Oily skin hydration myth — high share potential; pair with myth-busting graphic
9,[Week 2 Tuesday],Instagram,Behind the Scenes,Caption #233,Feed Post - Single Image or Reel,Set 3: Behind the Scenes,Scheduled,Product arsenal — flat lay of your most-used products
10,[Week 2 Wednesday],Instagram,Promotional,Caption #96,Feed Post - Single Image,Set 2: Promotional Post,Scheduled,Gift card promotion — pair with gift card mockup or styled image
11,[Week 2 Thursday],Instagram,Engagement,Caption #179,Feed Post - Single Image,Set 5: Engagement Post,Scheduled,Ask about skin concerns — promise to reply to every comment
12,[Week 2 Friday],Instagram,Seasonal & Trending,Caption #326,Feed Post - Single Image,Set 7: Seasonal / Holiday,Scheduled,Seasonal skin tip — adjust caption to current season before posting
13,[Week 2 Saturday],Instagram,Optional,Optional,Optional,Optional,Optional,Weekend — stories only if desired
14,[Week 2 Sunday],Instagram,Behind the Scenes,Caption #243,Feed Post - Single Image,Set 3: Behind the Scenes,Scheduled,Before/after appointment process — builds transparency and trust
15,[Week 3 Monday],Instagram,Educational,Caption #7,Feed Post - Carousel,Set 8: Skincare Tips,Scheduled,Skin barrier education — very shareable; ideal for carousel format
16,[Week 3 Tuesday],Instagram,Promotional,Caption #114,Feed Post - Single Image,Set 2: Promotional Post,Scheduled,Taking new clients announcement — use with welcoming studio photo
17,[Week 3 Wednesday],Instagram,Engagement,Caption #177,Feed Post - Single Image,Set 5: Engagement Post,Scheduled,Open Q&A — answer all comments for strong engagement signal
18,[Week 3 Thursday],Instagram,Testimonial & Social Proof,Caption #297,Feed Post - Single Image,Set 6: Testimonial / Reviews,Scheduled,New client first facial experience — great for converting hesitant followers
19,[Week 3 Friday],Instagram,Educational,Caption #19,Feed Post - Single Image or Carousel,Set 10: Ingredient Spotlight,Scheduled,Ceramides spotlight — ingredient education with product visual
20,[Week 3 Saturday],Instagram,Optional,Optional,Optional,Optional,Optional,Weekend — optional Stories with product tip or poll
21,[Week 3 Sunday],Instagram,Promotional,Caption #152,Feed Post - Single Image,Set 2: Promotional Post,Scheduled,Self-care permission post — soft sell with warm Sunday energy
22,[Week 4 Monday],Instagram,Educational,Caption #46,Feed Post - Carousel,Set 8: Skincare Tips,Scheduled,SPF numbers explained — carousel format ideal; easy to share
23,[Week 4 Tuesday],Instagram,Behind the Scenes,Caption #239,Feed Post - Single Image or Reel,Set 3: Behind the Scenes,Scheduled,Favorite esthetician moment — personal and humanizing
24,[Week 4 Wednesday],Instagram,Promotional,Caption #105,Feed Post - Single Image,Set 2: Promotional Post,Scheduled,Treatment package promotion — highlight multi-session value
25,[Week 4 Thursday],Instagram,Engagement,Caption #188,Feed Post - Single Image,Set 5: Engagement Post,Scheduled,Dream skin question — generates aspirational comments
26,[Week 4 Friday],Instagram,Testimonial & Social Proof,Caption #311,Feed Post - Single Image,Set 6: Testimonial / Reviews,Scheduled,Client results caption — end of month strong close
27,[Week 4 Saturday],Instagram,Optional,Optional,Optional,Optional,Optional,Weekend — optional if you have strong content
28,[Week 4 Sunday],Instagram,Seasonal & Trending,Caption #346,Feed Post - Single Image,Set 7: Seasonal / Holiday,Scheduled,Self-care Sunday seasonal post — great reach on Sundays
29,[Bonus Day 1],Instagram,Educational,Caption #67,Feed Post - Carousel,Set 10: Ingredient Spotlight,Scheduled,Skin cycling trend explained — trending topic with high share value
30,[Bonus Day 2],Instagram,Promotional,Caption #163,Feed Post - Single Image,Set 2: Promotional Post,Scheduled,New year / new month goals consultation — strong CTA closer
