Month,Sponsored Videos,Organic Videos,Target Sponsorship Revenue,Main Niche Content,Priority Platform,Notes
January 2024,3,8,"$6,000",Tech and productivity,YouTube,"Set rate card, send 50 pitches"
February 2024,5,6,"$10,000",Lifestyle and wellness,YouTube + TikTok,Build TikTok presence
March 2024,4,8,"$11,500",Personal finance,YouTube,Tax season content = high views
April 2024,6,6,"$14,000",Tech and apps,YouTube,Spring brand campaign season
May 2024,5,7,"$12,500",Fitness and health,Instagram + TikTok,Pre-summer deals available
June 2024,7,5,"$18,000",Summer lifestyle,All platforms,Peak brand deal season
July 2024,5,8,"$13,000",Travel and tech,YouTube,"Mid-year check in, raise rates"
August 2024,6,7,"$16,000",Back to school,YouTube + TikTok,Education brand season
September 2024,7,6,"$19,000",Productivity,YouTube,Q4 brand budgets opening
October 2024,8,5,"$22,000",Tech launches,YouTube,Holiday season prep
November 2024,9,4,"$28,000",Holiday deals,All platforms,Highest deal season of year
December 2024,6,7,"$18,000",Year in review,YouTube,Wrap-up content performs well
