Day,Date_Placeholder,Pillar,Content_Type,Caption_Hook,Visual_Direction,CTA,Hashtag_Set,Notes
1,Week 1 Mon,Food & Menu Spotlight,Single Image,This is the dish that started it all — meet our signature plate.,Overhead flat-lay of hero dish on dark slate with fresh garnish and side sauce visible,Tag a friend who needs to try this,Set A (Food Photography),Shoot during peak natural light; use styled props sparingly
2,Week 1 Tue,Behind the Kitchen,Reel,Ever wonder what goes into every plate we send out?,15-second time-lapse of chef plating a dish from bare plate to finished product,Follow us for more behind-the-scenes,Set C (Chef & Kitchen),Capture ambient kitchen sounds; no music overlay needed
3,Week 1 Wed,Customer Love & Social Proof,Story,Our guests say it best — and this one made our whole team smile.,Screenshot-style graphic of a 5-star review with brand color overlay and logo,Share this if you agree,Set B (Local Restaurant),Use Canva story template; add tap-to-react sticker
4,Week 1 Thu,Food & Menu Spotlight,Carousel,"Three courses. One unforgettable evening. Here's what's on the menu.",Slide 1 wide table spread shot then Slides 2 through 4 individual dish close-ups and Slide 5 dessert detail,Swipe to see what's waiting for you,Set A (Food Photography),Write dish name and one-line description as overlay text on each slide
5,Week 1 Fri,Educational & Food Culture,Reel + Story,Did you know this ingredient has been used in cooking for over 500 years?,Close-up macro shot of the key ingredient transitioning into the finished dish in a Reel,Save this for your next kitchen experiment,Set C (Chef & Kitchen),Chef voiceover preferred; keep Reel under 30 seconds
6,Week 1 Sat,Behind the Kitchen,Reel,Saturday mornings smell like this in our kitchen.,Wide-angle shot of prep team at work — chopping herbs and heating pans with steam visible,Come experience it for yourself tonight,Set C (Chef & Kitchen),Natural kitchen ambiance audio works well here
7,Week 1 Sun,Food & Menu Spotlight,Single Image,Sunday done right starts with a plate like this.,Brunch flat-lay featuring eggs benedict or weekend special with coffee and orange juice on the side,Reserve your Sunday table now,Set E (Brunch),Post between 9 and 11 AM for peak brunch audience engagement
8,Week 2 Mon,Customer Love & Social Proof,Carousel,We asked and you answered — here are your top five favorite dishes ranked.,Slide 1 poll results graphic then Slides 2 through 5 each ranked dish as a styled individual photo,Tell us your number one in the comments,Set B (Local Restaurant),Use saved Instagram poll results as source material for ranking
9,Week 2 Tue,Behind the Kitchen,Single Image,The knife that has been with our head chef for twelve years.,Tight macro of chef's personal knife on a wooden cutting board with blurred kitchen background,What tool do you swear by? Tell us below,Set C (Chef & Kitchen),Personal storytelling angle — get a quote from the chef to include in caption
10,Week 2 Wed,Food & Menu Spotlight,Reel,Watch us build our most-ordered dish from scratch in under 60 seconds.,Fast-cut Reel showing each step of the dish prep from raw ingredients to plated perfection,Order yours tonight — link in bio,Set A (Food Photography),Edit to upbeat royalty-free track; show hands and motion clearly
11,Week 2 Thu,Educational & Food Culture,Carousel,Fresh pasta versus dried pasta — here is what actually changes in your dish.,Slide 1 side-by-side comparison then Slides 2 through 4 each type explained with text and photo and Slide 5 which we use and why,Save this before your next grocery run,Set C (Chef & Kitchen),Educational carousels get high save rates — optimize caption for keywords
12,Week 2 Fri,Behind the Kitchen,Reel,Friday prep starts at six in the morning and here is what that looks like.,POV walk-through of kitchen at opening — travel from back door to pass with ambient sound,Come see the results tonight,Set C (Chef & Kitchen),Shoot handheld for authentic feel; stabilize in post if shaky
13,Week 2 Sat,Food & Menu Spotlight,Single Image,If you have never tried our weekend special you are missing out.,Close-up of the limited weekend dish with steam rising and sauce drizzle mid-pour,Available this weekend only — come in or call ahead,Set A (Food Photography),Create urgency in caption; highlight limited availability
14,Week 2 Sun,Customer Love & Social Proof,Reel + Story,Real people and real reactions — this is exactly why we do what we do.,Short video clips of guests reacting positively at the table with permission followed by a dish reveal,Share your experience with us and tag us in your photos,Set B (Local Restaurant),Always get signed consent before filming guests; keep individual clips under 5 seconds
15,Week 3 Mon,Engagement & Community,Story,Quick question — what would you add to our menu if you could choose anything?,Branded poll story with two dish concept options and a fun background image,Vote now and we will share the results Friday,Set B (Local Restaurant),Use Instagram native poll sticker; follow up with results on Friday
16,Week 3 Tue,Food & Menu Spotlight,Carousel,Our chef's tasting menu has six courses and here is a sneak peek at each one.,One slide per course with dish name and a single evocative flavor descriptor as overlay text,Book the full experience — link in bio,Set A (Food Photography),Keep slides consistent in color grading; use same filter across all
