Keyword,Type,Est Volume,Competition,Tag Valid
digital planner,Core,50K+,Very High,YES
printable planner,Core,25K,High,YES
daily planner digital,Mid-tail,18K,Medium,YES
goodnotes planner,Platform,22K,Medium,YES
notability planner,Platform,8K,Low,YES
ipad planner,Platform,15K,Medium,YES
hyperlinked planner,Feature,10K,Low,YES
undated planner,Feature,10K,Low,YES
minimalist planner,Style,8K,Low,YES
aesthetic planner,Style,12K,Low-Med,YES
planner for student,Audience,7K,Low,YES
teacher planner,Audience,12K,Low,YES
adhd planner,Audience,4K,Low,YES
planner 2024,Seasonal,30K,High,YES
back to school planner,Seasonal,15K,Med,YES
printable wall art,Core,30K,High,YES
digital wall art,Core,20K,High,YES
boho wall art,Style,18K,Medium,YES
minimalist wall art,Style,15K,Medium,YES
gallery wall print,Style,12K,Medium,YES
bedroom wall decor,Room,20K,High,YES
living room print,Room,14K,Medium,YES
housewarming gift,Occasion,35K,High,YES
instant download,Format,80K+,Very High,YES
digital download,Format,60K+,Very High,YES
