Service,Description,Standard Price,Pricing Basis,Add-On Notes
Monthly Bookkeeping — Starter,"Up to 100 transactions, 1–2 accounts, P&L + Balance Sheet",$200–$400,Per month,
Monthly Bookkeeping — Growth,"101–300 transactions, 2–4 accounts, all standard reports",$400–$750,Per month,
Monthly Bookkeeping — Established,"301–600 transactions, 4–6 accounts, payroll coordination","$750–$1,200",Per month,
Payroll Processing,Payroll processing for 1–5 employees; federal and state filing,$50–$150,Per month,$15–$25 per additional employee
Sales Tax Filing,Prepare and file state sales tax return,$75–$150,Per filing per state,
Quarterly Estimated Taxes,Calculate and document quarterly estimates,$100–$200,Per quarter,
Catch-Up Bookkeeping,Bring books current for prior months,1.5–2x monthly rate,Per month of backlog,
Year-End Close Coordination,Year-end close and CPA coordination,$200–$500,Annual,
1099 Preparation,Prepare and file 1099-NEC for contractors,$50/form + $100 base,Per form,
CFO Advisory Services,"Monthly financial review, KPI reporting, strategy","$500–$2,000",Per month,
