Day,Content Type,Topic,Hook
1,Education,Pre-Approval,"Why getting pre-approved before house hunting is non-negotiable"
2,Social Proof,Review,"'Closed on time. Communication was perfect. Will never use anyone else.' — [Client]"
3,Education,Rate Explained,"What a mortgage rate actually means for your monthly payment"
4,BTS,Process,"What happens between pre-approval and closing — the real timeline"
5,Education,Credit Score,"How your credit score affects your mortgage rate — the real numbers"
6,Engagement,Poll,"Where are you in your homebuying journey?"
7,Rate Update,Current Rates,"Mortgage rate update — week of [Date]"
8,Social Proof,Testimonial,"First-time buyer closed last week. Here's what they said."
9,Education,Down Payment,"The truth about down payment — you don't always need 20%"
10,Trust Builder,About Me,"Why I became a mortgage broker — and what drives me"
11,Education,FHA vs Conventional,"FHA vs Conventional: which loan is right for your situation?"
12,Social Proof,5-Star Review,"5 stars: 'I was terrified of the process. [Name] made it simple.'"
13,Education,Debt-to-Income,"DTI ratio explained — the number lenders really care about"
14,Promotion,Free Consultation,"Book a free 15-minute call. We'll run your real numbers."
15,Education,Closing Costs,"What closing costs actually include — and how to reduce them"
16,Social Proof,Client Win,"Just helped a family of 4 close on their dream home in [City]"
17,Rate Update,Weekly Rates,"Rates this week — and what it means if you're actively looking"
18,Education,Refinance,"Is now a good time to refinance? How to actually know."
19,Engagement,FAQ,"Your top mortgage questions — answered honestly"
20,Education,Self-Employed,"Getting a mortgage when you're self-employed — what to know"
21,Social Proof,Review,"'[Name] explained everything clearly. No surprises at closing.'"
22,Education,ARM vs Fixed,"Adjustable vs fixed rate: when each makes financial sense"
23,Promotion,Pre-Approval,"Pre-approval in 24–48 hours. No obligation. DM to start."
24,Education,Home Equity,"How to use your home equity — a simple breakdown"
25,Trust Builder,My Approach,"How I work — and why I do things differently than big banks"
26,Education,Market Timing,"'Should I wait for rates to drop?' — the honest answer"
27,Social Proof,Long-Term Relationship,"Helped this family with their first home. Now helping with their third."
28,Education,VA Loans,"VA loan benefits every veteran and service member should know"
29,Promotion,Referral,"Know someone buying or refinancing? Send them my way. 🤝"
30,Rate Update,End of Month,"Month-end rate summary — where we stand and where we might go"
