Day,Content Type,Topic,Hook
1,Education,Ice Dam Prevention,"Your attic is causing your roof leaks — here's why"
2,Social Proof,5-Star Review,"Read what [City] homeowners are saying about us"
3,Service Spotlight,Free Inspection,"Why a free roof inspection could save you thousands"
4,BTS,Job Walkthrough,"We just finished a full replacement in [Neighborhood] — here's a look"
5,Education,Shingle Lifespan,"How long does an asphalt roof actually last? The honest answer"
6,Engagement,Poll,"When was your last roof inspection?"
7,Promotion,Spring Campaign,"Spring inspection slots are open — here's how to grab yours"
8,Social Proof,Before/After,"Before vs After: full replacement in [City]"
9,Education,Insurance Claims,"How insurance claims for roofing actually work — step by step"
10,Trust Builder,Years in Business,"[X] years. [X] roofs. Here's what we've learned."
11,Service Spotlight,Storm Damage,"Storm rolled through [City]. Here's what to look for on your roof"
12,Social Proof,Testimonial,"'They found damage we didn't even know existed' — [Client]"
13,Education,3 Warning Signs,"3 signs your roof is telling you something's wrong"
14,Promotion,Referral Program,"Know a neighbor who needs a roofer? Here's our referral deal"
15,BTS,Team Feature,"Meet [Team Member] — [X] years on the roof, zero shortcuts"
16,Education,DIY vs Pro,"What you can safely DIY on a roof — and what you absolutely cannot"
17,Social Proof,Google Review,"Just got this 5-star review. This is why we show up every day"
18,Engagement,FAQ,"Your top roofing questions — answered by a licensed contractor"
19,Promotion,Insurance Help,"Working with insurance? We handle the whole process. Free."
20,Education,Flat vs Pitched,"Flat roof vs pitched roof — the differences that matter"
21,Social Proof,Stats,"[X] roofs replaced this year in [City]. Here's what we've seen."
22,Service Spotlight,Gutters,"Gutters are part of your roofing system — here's why they matter"
23,Education,Winter Prep,"The fall roofing checklist every [City] homeowner needs"
24,BTS,Materials Walkthrough,"Not all shingles are equal — here's what we actually install"
25,Social Proof,Referral Thank You,"Shoutout to [Client] for referring their neighbor. Community is everything."
26,Engagement,Question,"What's the #1 thing homeowners wish they knew before getting a new roof?"
27,Promotion,Limited Slots,"We have [X] project slots open this month. First come, first served."
28,Education,Value,"Does a new roof increase home value? The data says yes — here's how much"
29,Social Proof,Long-Form Review,"This review deserves its own post. Thank you, [Client]."
30,Trust Builder,Promise,"Our promise to every homeowner we work with"
