Week,Date,Platform,Content Type,Topic,Caption Draft,Hashtags,Call to Action,Status,Performance Notes
Week 1,2024-04-01,Instagram,Reel,Behind the Scenes - Morning Routine,Ever wonder what a typical morning looks like running a small business? Come behind the scenes with me.,#smallbusiness #behindthescenes #entrepreneurlife #solopreneur #dayinthelife #workfromhome #smallbizowner,Save This,Published,43 saves 12 shares - best reel this month
Week 1,2024-04-01,Facebook,Post,April Business Goals,New month new goals! Here are my top 3 priorities for April - accountability post so you can hold me to it.,#aprilgoals #businessgoals #smallbusiness #entrepreneur #goalsetting #accountability #businessowner,Comment Below,Published,18 comments high engagement
Week 1,2024-04-02,TikTok,Reel,3 Tools I Use to Run My Business,These 3 free tools save me hours every single week - and you probably haven't heard of all of them.,#smallbiztips #businesstools #entrepreneur #productivity #solopreneur #worksmarternotharder #tiktokbusiness,Follow For More,Published,2.3k views 180 likes
Week 1,2024-04-02,LinkedIn,Post,Client Win - Case Study,Thrilled to share that a recent client project resulted in a 34% increase in online enquiries within 30 days.,#clientwin #casestudy #results #smallbusiness #digitalmarketing #businessgrowth #clientsuccess,DM Us,Published,64 reactions 11 comments
Week 1,2024-04-03,Pinterest,Blog,10 Tips for Pricing Your Services Confidently,Struggling to set your prices? Here are 10 proven strategies to price with confidence and stop undercharging.,#pricingtips #smallbusiness #freelancetips #servicebusiness #businessadvice #entrepreneurtips #moneymindset,Save This,Published,94 saves 22 repins
Week 1,2024-04-03,Instagram,Story,Poll - What Content Do You Want?,Quick question for my community - what content helps your business the most right now? Vote below!,#instastory #smallbusiness #communityquestion #poll #businesstips #entrepreneur,Vote in Poll,Published,212 votes on poll
Week 1,2024-04-04,Instagram,Carousel,5 Signs You Are Undercharging,Swipe through to see if any of these sound familiar - if so it might be time to raise your rates.,#pricingtips #smallbusiness #freelancelife #raiseyourrates #businessadvice #solopreneur #entrepreneur,Save This,Published,78 saves strong reach
Week 2,2024-04-08,TikTok,Reel,Packing Orders ASMR - Satisfying,Nothing more satisfying than packing a full batch of orders! Come watch our process.,#packingorders #smallbusiness #asmr #satisfying #smallbizowner #orderpackaging #handmadebusiness,Follow For More,Published,5.1k views - viral moment
Week 2,2024-04-08,Instagram,Post,Product Feature - New Arrival,Introducing our newest addition to the shop - and it sold out once already so don't sleep on this one.,#newproduct #shopsmall #smallbusiness #productlaunch #newin #handmade #supportsmallbusiness,Shop Now,Published,56 likes 14 comments
Week 2,2024-04-09,Facebook,Post,Client Testimonial,We love hearing from happy clients! Here's what Sarah had to say after working together last month.,#testimonial #clientlove #socialproof #smallbusiness #happyclient #results #trusttheprocess,DM Us,Scheduled,
Week 2,2024-04-09,LinkedIn,Post,Thought Leadership - Industry Trend,Something I have noticed shifting in client expectations this quarter - and why it changes how I position my services.,#thoughtleadership #businesstrends #marketing #smallbusiness #entrepreneur #b2b #contentmarketing,Comment Below,Scheduled,
Week 2,2024-04-10,Instagram,Reel,How I Went From Overworked to Organised,Six months ago I was drowning in admin. Here are the exact changes I made to get my time back.,#organisation #productivitytips #smallbusiness #entrepreneur #timemanagement #solopreneur #businesssystems,Save This,Scheduled,
Week 2,2024-04-10,Pinterest,Blog,How to Set Up a Simple Client Tracker in a Spreadsheet,Keep on top of every client with this free simple spreadsheet method - no fancy CRM needed.,#clientmanagement #spreadsheeттips #smallbusiness #freelancetips #organization #crm #businesstemplates,Save This,Scheduled,
Week 2,2024-04-11,TikTok,Reel,Answering Your Business Questions,You asked I answered! Dropping answers to your top business questions from last week's post.,#businessqa #smallbusiness #entrepreneur #businessadvice #qa #solopreneur #tipsandtricks,Comment Below,Scheduled,
Week 2,2024-04-11,Instagram,Story,Behind the Scenes - Client Delivery Day,Delivery day is always exciting - showing you what goes into a final client handover behind the scenes.,#behindthescenes #clientwork #smallbusiness #instastory #freelancelife #designer #creativeprocess,DM Us,Published,310 story views
Week 3,2024-04-15,Instagram,Carousel,The Exact Workflow I Use for Every Project,Swipe to see the step-by-step process I follow for every single client project - steal this workflow!,#workflow #projectmanagement #freelancetips #smallbusiness #businesssystems #solopreneur #processmatters,Save This,Draft,
Week 3,2024-04-15,Facebook,Post,Monday Motivation - Business Edition,Monday reminder: you don't need everything figured out - you just need to take the next right step.,#mondaymotivation #entrepreneur #smallbusiness #mindset #businessmotivation #keepgoing #growthmindset,Comment Below,Draft,
