Keyword,Occasion,Audience,Est Volume,Best Month,Tag Valid
mothers day gift,Mother's Day,All,80K+,March-May,YES
gift for mom,Mother's Day,All,60K+,Year-round,YES
mothers day printable,Mother's Day,All,20K,March-May,YES
birthday gift woman,Birthday,Women,35K,Year-round,YES
birthday gift for her,Birthday,Women,40K,Year-round,YES
personalized birthday,Birthday,All,25K,Year-round,YES
christmas gift ideas,Christmas,All,100K+,Oct-Dec,YES
christmas printable,Christmas,All,40K,Oct-Dec,YES
gift for teacher,Teacher Appreciation,Teachers,12K,Apr-May,YES
teacher appreciation,Teacher Appreciation,Teachers,12K,Apr-May,YES
valentines day gift,Valentine's Day,All,70K+,Dec-Feb,YES
gift for her valentines,Valentine's Day,Women,30K,Dec-Feb,YES
graduation gift,Graduation,Grads,25K,Apr-Jun,YES
fathers day gift,Father's Day,All,50K+,May-Jun,YES
gift for dad,Father's Day,Dads,35K,May-Jun,YES
wedding gift,Wedding,All,45K,Year-round,YES
bridal shower gift,Wedding,Brides,20K,Mar-Jun,YES
baby shower gift,Baby Shower,Parents,30K,Year-round,YES
housewarming gift,Moving,All,35K,Year-round,YES
anniversary gift,Anniversary,Couples,25K,Year-round,YES
