Day,Content Type,Topic,Hook
1,Education,Life Insurance Basics,"The most common life insurance myth — busted"
2,Social Proof,Review,"This is what a client said after we found her a $40/month savings"
3,Education,Term vs Whole,"Term vs whole life: which one is right for your situation?"
4,BTS,My Process,"What actually happens in our first meeting — no surprises"
5,Education,Coverage Gaps,"The most common insurance gap I see — and how to fix it"
6,Engagement,Poll,"When did you last review your insurance coverage?"
7,Promotion,Free Review,"Free 20-minute coverage review — no obligation. Here's how to book."
8,Social Proof,Testimonial,"She came in thinking she was covered. Left with actual protection."
9,Education,Employer Benefits,"Why you shouldn't rely only on employer insurance coverage"
10,Trust Builder,Why I Do This,"Why I became an insurance agent — and who I'm actually here for"
11,Education,Disability,"The insurance most people overlook — and why it matters most"
12,Social Proof,5-Star Review,"5 stars: 'Honest, clear, and never tried to oversell me.'"
13,Education,Beneficiaries,"Have you updated your beneficiaries lately? Here's why it matters."
14,Promotion,Life Event,"Got married, had a baby, bought a home? Your coverage needs a review."
15,Education,Underwriting,"Why some people pay more for insurance — and how to avoid it"
16,Social Proof,Client Win,"This family has peace of mind now. Here's their story."
17,Education,Bundling,"How bundling policies can save you [X]% — and whether it's worth it"
18,Engagement,FAQ,"Your insurance questions answered — honestly, no jargon"
19,Promotion,Referral,"Know someone who needs coverage? I'll take great care of them. 🤝"
20,Education,Annual Review,"5 reasons to review your insurance every single year"
21,Social Proof,Before/After,"Before: no coverage plan. After: full family protection in place."
22,Education,Business Insurance,"If you own a business and don't have [X] coverage — we need to talk"
23,BTS,My Work,"A day in my week: the meetings, the quotes, and why I love this work"
24,Education,Credit & Insurance,"How your credit score affects your insurance rates in some states"
25,Promotion,Rate Review,"Are you overpaying? I'll compare your current rates for free."
26,Trust Builder,My Promise,"What you can always expect when you work with me"
27,Social Proof,Long-Term Client,"[Client] has been with me for [X] years. This is what loyalty looks like."
28,Education,Health Insurance,"Open enrollment is coming — here's what to think about"
29,Engagement,Question,"What's the #1 financial concern you have for your family?"
30,Promotion,End of Month,"[X] spots open for free consultations this week. Grab yours."
