Day,Content Type,Topic,Hook
1,Education,Grooming Frequency,"How often should your dog actually be groomed? The honest guide by breed"
2,Social Proof,Review,"This review from a nervous-dog parent made our whole week 🐾"
3,Transformation,Before/After,"Meet [Pet Name] before and after their groom today"
4,Education,Nail Care,"Overgrown nails cause real pain for dogs — here's why regular trims matter"
5,BTS,Salon Tour,"A look at our grooming space — and why we designed it this way"
6,Engagement,Poll,"Does your dog love or hate bath time?"
7,Promotion,Booking Open,"We have openings next week! Here's how to book [Pet Name]'s spot"
8,Transformation,Matted to Fluffy,"Warning: adorable pup transformation ahead 🐾 Before and after"
9,Education,Ear Cleaning,"Why ear cleaning is part of every groom — and what we look for"
10,Social Proof,Testimonial,"'My dog used to shake going into every salon. Not here.'"
11,Service Spotlight,Full Groom,"What our full groom service actually includes — no surprises"
12,Education,Summer Coat,"To shave or not to shave for summer? The breed-specific answer"
13,Social Proof,5-Star Review,"5 stars: 'Best groomer in [City] — and I've tried them all.'"
14,Promotion,New Pet Welcome,"New puppy or rescue? Your first groom is [offer]. 🐾"
15,BTS,Team Feature,"Meet [Groomer] — [X] years caring for [City]'s pets"
16,Education,Products,"The shampoos we use — and what we avoid for sensitive skin"
17,Engagement,FAQ,"Your top pet grooming questions — answered by a pro"
18,Transformation,Holiday Groom,"Holiday groom complete ✨ [Pet Name] is ready for family photos"
19,Promotion,Referral,"Refer a friend's pet to us — you both get rewarded! 🐾"
20,Education,Matting Prevention,"How to prevent matting between grooms — a groomer's guide"
21,Social Proof,Long-Term Client,"[Pet Name] has been coming to us for [X] years — look how they've grown!"
22,BTS,Day in the Life,"A full day at [Salon Name] — 8 pets, 1 team, endless love 🐾"
23,Education,Anxiety,"Helping anxious dogs with grooming — our gentle approach"
24,Promotion,Birthday Pup,"Is your dog's birthday coming up? They get a special treat from us 🎂🐾"
25,Transformation,Cat Groom,"Yes, we groom cats too — and here's the proof 🐱"
26,Engagement,Question,"What's your dog's reaction when you say 'bath time'? 😂"
27,Social Proof,Google Review,"Read what [City] pet parents are saying about us"
28,Education,Senior Pets,"How grooming needs change for senior dogs — what to know"
29,Promotion,Limited Slots,"[X] openings left this month — is your pet on the list?"
30,Trust Builder,Why We Do This,"We didn't just open a grooming salon. We opened a place pets love to go."
