"Day","Date","Pillar","Content Type","Caption Hook","Caption Angle","Visual Direction","CTA","Hashtag Set","Notes"
"1","Day 1","BTS","Reel","It's 9pm and I'm still editing — and honestly? I wouldn't change a thing.","Late-night editing reality check — humanizes the photographer's work ethic","Time-lapse or phone video of editing screen with coffee nearby, warm lamp light","Drop a coffee emoji if you've been there","Set 5 BTS","Post 6-8pm. Add trending audio to Reel for reach boost."
"2","Day 2","Work/Reveals","Single Image","She said she never photographs well. Then she saw this.","Before/after confidence transformation — emotional payoff of portrait work","Final portrait reveal: subject laughing or looking away naturally, golden-hour light, warm tones","Tag a friend who needs a session like this","Set 1 Portrait","Post 11am-1pm. Emotional hooks perform well mid-week."
"3","Day 3","Educational","Carousel","5 things that will ruin your wedding photos — and how to avoid them.","Common wedding photography pitfalls couples don't know about until it's too late","Slide 1: bold text on clean background. Slides 2-6: one tip each with a real example photo","Save this before you book your photographer","Set 2 Wedding","10-slide max. Save-worthy content — carousel boosts algorithmic reach."
"4","Day 4","BTS","Stories","The shot nobody sees before the shot everyone loves.","Show the messy reality behind a polished image — builds authenticity","Side-by-side Stories: the chaotic BTS moment vs. the finished photo","Poll: 'Did you know this is what it takes?' Yes / No","Set 5 BTS","Use native Stories poll sticker. Saves to Highlights under 'BTS'."
"5","Day 5","Engagement","Reel","POV: you handed your camera to a non-photographer for 5 seconds.","Relatable humor for photographers — connects with fellow creatives and clients","Quick comedic cuts of blurry, off-angle shots ending on a perfect professional shot","Comment your worst ever accidental photo story","Mix","Post 5-7pm. Humor Reels share well — prioritize trending sound."
"6","Day 6","Social Proof","Single Image","'I didn't know a photo could make me cry.' — That's what she said when I sent the gallery.","Real client reaction as social proof — lets the work speak through emotion","Favorite image from a recent portrait or family session, soft and warm editing style","If you want photos that make YOU feel this way, link in bio to book","Set 1 Portrait","Post Tue-Thu 10am-12pm. Client quotes outperform generic testimonials."
"7","Day 7","BTS","Carousel","What's actually in my camera bag — and what I'd never shoot without.","Gear transparency post — educational and trust-building for potential clients","Flat lay of camera bag contents on a neutral surface, each item labeled in slides","Drop a question below about any piece of gear","Set 5 BTS","8-10 slides. Label gear names in text overlay on each slide."
"8","Day 8","Work/Reveals","Reel","From one nervous couple to 200 crying guests — this is what I live for.","Wedding day emotion recap — showcases the full storytelling range of wedding photography","60-90 second Reel: getting ready clips, ceremony tears, first dance, golden-hour couple shot","If this is what you want your wedding day to look like, DM me 'WEDDING'","Set 2 Wedding","Post Friday evening. Wedding content peaks Fri-Sun. Use romantic trending audio."
"9","Day 9","Educational","Single Image","The one camera setting most photographers ignore — and it's costing you sharp photos.","Quick educational tip (back-button focus or similar) that delivers instant value","Close-up of camera back screen or settings dial, good depth of field, clean composition","Save this and try it on your next shoot","Set 5 BTS","Post 9-11am. Educational single images drive saves — great for algorithm."
"10","Day 10","BTS","Reel","This is what 6 hours of a wedding day looks like in 45 seconds.","Day-in-the-life of a wedding photographer — raw, real, and energetic","Fast-cut Reel: alarm clock, gear packing, driving, venue arrival, ceremony, reception, driving home tired","Comment 'REAL' if you knew this was the job","Set 2 Wedding","Post Sunday evening to catch engaged couples browsing. High-energy audio works best."
"11","Day 11","Engagement","Carousel","Portrait or wedding: which style are you? Take this quiz to find out.","Interactive quiz carousel — drives saves and shares while qualifying ideal clients","Slide 1: bold question. Slides 2-7: either/or choices with photos. Last slide: results key","Comment your result below — A, B, or mix?","Mix","8-10 slides. Higher engagement when framed as a quiz. Save for Stories repurpose."
"12","Day 12","Work/Reveals","Single Image","Nobody told me the last image in a gallery would be the hardest to choose.","The process of curating a final gallery — shows the care behind every delivery","Gorgeous final portrait: subject in natural light, looking off-camera, lush background","Which detail in this image is your favorite? Tell me below.","Set 3 Family","Post 12-2pm. Single image with a question drives comment engagement."
"13","Day 13","Social Proof","Carousel","I asked 5 past clients what they wish they'd known before their session. Here's what they said.","Client-sourced wisdom carousel — credibility through real voices, not self-promotion","Slide 1: bold intro. Slides 2-6: one quote per client with their name/session type. Slide 7: CTA","Book your session — link in bio","Set 1 Portrait","Real quotes only. Ask clients for permission to feature them. Saves build trust."
"14","Day 14","BTS","Stories","Real talk: I almost cancelled this session because of the weather.","Vulnerability about the unpredictability of the job — relatable and real","Stories sequence: rainy/cloudy outdoor shot → pivot location → stunning final image","Vote: 'Have you ever had a session save itself?' Yes / Absolutely","Set 5 BTS","3-5 Stories in a sequence. Ends on a win — good for Highlights 'BTS' folder."
