Day,Content Type,Topic,Hook
1,Portfolio,Recent Work,"Fresh off the machine — [style] piece done yesterday"
2,Education,Style Guide,"Not sure what tattoo style is right for you? Here's a quick guide"
3,BTS,Process Video,"Watch this [style] take shape from sketch to skin"
4,Social Proof,Review,"5 stars: 'First tattoo ever. I was so nervous. Best decision I ever made.'"
5,Engagement,Poll,"What's your next tattoo style?"
6,Promotion,Booking Open,"Books open [date] — here's how to get on the list"
7,Portfolio,Healed Work,"Healed results are the real test. Here's a piece from [timeframe] ago."
8,Education,Aftercare,"The aftercare mistake that ruins tattoos — and how to avoid it"
9,Social Proof,Testimonial,"[Client] trusted us with a piece that meant everything to them. Here it is."
10,BTS,Sketch Phase,"Before the machine: the design process behind this piece"
11,Service Spotlight,Flash Weekend,"Flash weekend [date] — [X] designs, first come first served"
12,Education,Pain Guide,"Tattoo pain by placement — the honest map 🗺️"
13,Social Proof,Transformation,"Cover-up transformation: before and after"
14,Portfolio,Color Work,"Color still alive and vibrant [timeframe] after. Proper aftercare matters."
15,BTS,Studio Tour,"Our studio, our space, our vibe — a little tour 🖤"
16,Education,Choosing Artist,"How to choose the right tattoo artist for your style"
17,Engagement,FAQ,"Your tattoo questions answered — honestly"
18,Portfolio,Black & Grey,"Black and grey highlight of the week"
19,Promotion,Guest Artist,"Guest artist [name] joining us [dates] — limited spots"
20,Education,Touch-Ups,"When do you actually need a touch-up? The real answer."
21,Social Proof,Long-Term Client,"[Client]'s 5th piece with us. We love watching collections grow. 🖤"
22,BTS,Machine & Tools,"The tools we use — and why quality equipment matters"
23,Portfolio,Fine Line,"Fine line week: the precision required for this style"
24,Engagement,Question,"What's the meaning behind your tattoo? Drop it below 🖤"
25,Education,Budgeting,"How to budget for a tattoo: the honest breakdown of cost factors"
26,Promotion,Waitlist Open,"Waitlist now open for [month/season]. DM to add your name."
27,Portfolio,Traditional Style,"Old school flash done the right way 🖤"
28,Social Proof,Google Review,"Just received this review. This is why we do what we do."
29,BTS,Flash Design Process,"Drawing the flash: watch this design go from blank page to wall sheet"
30,Trust Builder,Studio Values,"Why we do things the way we do — our philosophy on tattooing"
