Day,Content Type,Topic,Hook
1,Education,Winter Hair Care,"Your hair is dehydrated right now — here's what to do about it"
2,Social Proof,Review Share,"This review made our whole week. Thank you [Client]"
3,Transformation,Before/After,"She came in for a refresh. Left with a whole new vibe."
4,Service Spotlight,Balayage,"Balayage explained — why it grows out beautifully"
5,Education,Color Maintenance,"How to make your color last 2x longer"
6,Engagement,Poll,"What's your biggest hair struggle right now?"
7,Promotion,Booking Open,"January spots just opened — here's how to grab one"
8,BTS,Salon Life,"Behind the chair: what a full color day looks like"
9,Education,Trim Frequency,"How often should you actually cut your hair? The honest answer."
10,Social Proof,Testimonial,"'I've tried 4 salons in this city. This is the only one I keep coming back to.'"
11,Service Spotlight,Keratin,"Keratin treatment: what it does, who it's for, and how long it lasts"
12,Transformation,Color Result,"Copper to platinum in one session. Here's how we did it safely."
13,Education,Home Care,"The products we actually recommend (and why)"
14,Promotion,Valentine's,"Valentine's week appointments — gift cards available too"
15,BTS,Team Feature,"Meet [Stylist] — [X] years behind the chair, still obsessed with hair"
16,Engagement,FAQ,"Your top 5 color questions — answered honestly"
17,Social Proof,Google Review,"5 stars: 'Came in with a bad haircut from another salon. Left feeling like myself again.'"
18,Education,Healthy Hair,"Healthy hair habits that actually make a difference"
19,Service Spotlight,Gloss Treatment,"Gloss treatments: the secret to shiny, vibrant color"
20,Transformation,Short Hair,"She went short. No regrets. See the full transformation."
21,Promotion,Spring Color,"Spring color season is opening up — book your refresh"
22,Education,Gray Coverage,"Gray coverage vs gray blending — which is right for you?"
23,Social Proof,Referral Thanks,"Shoutout to [Client] for sending us the best referrals. We love you! 💛"
24,BTS,Products,"What's in our color room — the brands we trust and why"
25,Engagement,Question,"What's the one hair service you've always wanted to try?"
26,Service Spotlight,Scalp Health,"Scalp health is hair health — here's what we do and why it matters"
27,Promotion,Flash Opening,"Cancellation alert: [Day] at [Time] just opened with [Stylist]. DM now."
28,Education,Hair Type,"Porosity, density, texture — why knowing your hair type changes everything"
29,Social Proof,Long-Term Client,"[Client] has been with us for [X] years. This is her current look."
30,Trust Builder,Our Philosophy,"We don't just do what's trendy. We do what's right for your hair."
