Day,Category,Caption,Hashtag,Type
1,Insurance Education,Your homeowner's insurance covers your house structure — but your belongings inside require a separate 'personal property' coverage. Do you know your limit?,#insurance,Post
2,Insurance Education,"Flood insurance is NOT included in standard homeowner's policies. If you live near water or in a low-lying area, you need a separate flood policy.",#insurance,Post
3,Insurance Education,Liability coverage on your auto policy protects other people if YOU cause an accident. Make sure your limits are high enough.,#insurance,Post
4,Insurance Education,An umbrella policy gives you an extra $1-2 million of liability coverage on top of your home and auto policies — for about $200-$300/year.,#insurance,Post
5,Insurance Education,Your credit score affects your insurance rates in most states. Improving your credit can directly lower your premiums.,#insurance,Post
6,Insurance Education,Term life insurance is the most affordable way to protect your family's income — a 20-year term policy for a healthy 35-year-old can cost less than your morning coffee.,#insurance,Post
7,Insurance Education,The 'replacement cost' vs. 'actual cash value' debate: Replacement cost pays to replace your item new. ACV deducts depreciation. Always choose replacement cost if you can.,#insurance,Post
8,Insurance Education,"Comprehensive auto insurance covers non-collision incidents: theft, vandalism, weather damage, and hitting an animal.",#insurance,Post
9,Insurance Education,"Collision coverage pays for damage to YOUR car in an accident, regardless of fault.",#insurance,Post
10,Insurance Education,Renters insurance is typically $15-$30/month and protects all your belongings. Yet 60% of renters have none.,#insurance,Post
11,Insurance Education,A 'named perils' policy covers only the perils specifically listed. An 'open perils' or 'all-risk' policy covers everything EXCEPT what's excluded.,#insurance,Post
12,Insurance Education,Disability insurance replaces 60-70% of your income if you can't work. It's the most overlooked coverage in America.,#insurance,Post
13,Insurance Education,Medicare doesn't cover everything. A Medicare supplement (Medigap) policy fills the gaps left by Original Medicare.,#insurance,Post
14,Insurance Education,Workers compensation insurance is required in most states for businesses with employees. It covers medical bills and lost wages for work injuries.,#insurance,Post
15,Insurance Education,General liability insurance protects your business if a customer is injured on your premises or by your product.,#insurance,Post
16,Insurance Education,Business interruption insurance covers lost income if your business must close temporarily due to a covered loss.,#insurance,Post
17,Insurance Education,"Cyber liability insurance protects businesses from data breach costs, ransomware, and cyber fraud — now essential for any business that stores customer data.",#insurance,Post
18,Insurance Education,A BOP (Business Owner's Policy) bundles general liability + commercial property into one affordable policy — perfect for small businesses.,#insurance,Post
19,Insurance Education,"E&O (Errors & Omissions) insurance protects professionals if a client claims financial harm from a mistake. Essential for agents, consultants, and advisors.",#insurance,Post
20,Insurance Education,Directors & Officers (D&O) insurance protects board members and executives from lawsuits related to their management decisions.,#insurance,Post
21,Insurance Education,"Employment Practices Liability (EPLI) protects businesses against claims of wrongful termination, harassment, and discrimination.",#insurance,Post
22,Insurance Education,"Long-term care insurance covers nursing home, assisted living, and in-home care costs — the average nursing home costs $100,000+ per year.",#insurance,Post
23,Insurance Education,An annuity converts a lump sum into a guaranteed income stream — useful for retirement planning.,#insurance,Post
24,Insurance Education,"Inland marine insurance covers valuable property that moves or is stored off-premises: equipment, tools, fine art, and electronics.",#insurance,Post
25,Insurance Education,Professional liability (malpractice) insurance is required for healthcare professionals and highly recommended for all licensed professionals.,#insurance,Post
26,Insurance Education,Key person insurance protects a business if a critical employee (owner or star performer) dies or becomes disabled.,#insurance,Post
27,Insurance Education,Buy-sell insurance funds a buyout agreement between business partners if one partner dies or becomes disabled.,#insurance,Post
28,Insurance Education,"Health insurance deductibles, copays, and out-of-pocket maximums are different things — understanding all three helps you plan healthcare costs.",#insurance,Post
29,Insurance Education,The ACA marketplace offers subsidized health insurance to individuals who don't have employer coverage. Open enrollment is November-January.,#insurance,Post
30,Insurance Education,Life insurance proceeds pass to beneficiaries income-tax-free — one of the most powerful wealth transfer tools available.,#insurance,Post
31,Insurance Education,The rule of thumb for life insurance: 10-12x your annual income in coverage.,#insurance,Post
32,Insurance Education,Short-term disability covers you for the first 90-180 days of disability. Long-term covers beyond that. Many people need both.,#insurance,Post
33,Insurance Education,Guaranteed issue life insurance requires no medical exam — great for seniors or those with pre-existing conditions.,#insurance,Post
34,Insurance Education,Variable life insurance has a cash value component tied to market performance. It's insurance AND investment.,#insurance,Post
35,Insurance Education,Whole life insurance builds cash value you can borrow against tax-free. It's permanent coverage with a savings component.,#insurance,Post
36,Insurance Education,Universal life insurance offers flexible premiums and a cash value component that grows at a declared interest rate.,#insurance,Post
37,Agent Value & Trust,I'm not just an insurance agent — I'm an independent agent. That means I shop multiple carriers to find you the best deal.,#insurance,Post
38,Agent Value & Trust,The best time to review your insurance is BEFORE something happens. Don't wait for a claim to discover a coverage gap.,#insurance,Post
39,Agent Value & Trust,"My goal isn't to sell you the most expensive policy. My goal is to make sure you have exactly the coverage you need — nothing more, nothing less.",#insurance,Post
40,Agent Value & Trust,"When you call me, you reach me. Not a call center. Not a robot. A real person who knows your policy.",#insurance,Post
41,Agent Value & Trust,"Independent agents like me represent multiple carriers — we work for YOU, not for any single insurance company.",#insurance,Post
42,Agent Value & Trust,"I've helped [X] clients protect their homes, businesses, and families. Let me help you too.",#insurance,Post
43,Agent Value & Trust,"If you have a claim, I'm your advocate. I'll call the adjuster, follow up, and make sure you're treated fairly.",#insurance,Post
44,Agent Value & Trust,Insurance is complicated — that's why you need someone in your corner who understands it. That's me.,#insurance,Post
45,Agent Value & Trust,I specialize in finding coverage gaps people don't know they have — until it's too late.,#insurance,Post
46,Agent Value & Trust,"The value I provide goes far beyond a quote. I'm here to educate, protect, and advocate for your interests.",#insurance,Post
47,Agent Value & Trust,"My clients don't just buy insurance from me — they buy peace of mind, knowing they're covered when it matters most.",#insurance,Post
48,Agent Value & Trust,Shopping insurance online is easy — understanding what you're buying is hard. That's where I come in.,#insurance,Post
49,Agent Value & Trust,I go to work for you before you even need me — reviewing your coverage annually to make sure it still fits your life.,#insurance,Post
50,Agent Value & Trust,You wouldn't go to surgery without a doctor. You shouldn't handle complex insurance needs without a professional.,#insurance,Post
51,Agent Value & Trust,"Commission transparency: I'm paid by the insurance carriers, so my advice and service cost you nothing extra.",#insurance,Post
52,Agent Value & Trust,I've seen what happens when families are underinsured after a major loss. I've made it my mission to prevent that.,#insurance,Post
53,Agent Value & Trust,My favorite call to make is the one after a claim — telling my client the carrier is paying in full.,#insurance,Post
54,Agent Value & Trust,Most people spend more time shopping for a TV than reviewing their insurance. Let me make your next review easy.,#insurance,Post
55,Agent Value & Trust,I've seen policies from 12 different carriers this week. Do you know which one is best for your specific situation? I do.,#insurance,Post
56,Agent Value & Trust,"Referrals are my #1 source of new business. If I've served you well, please share my name.",#insurance,Post
57,Agent Value & Trust,I specialize in making the complex simple. Insurance has a lot of fine print — I translate it for you.,#insurance,Post
58,Agent Value & Trust,I'm not in this for the transaction. I'm in this for the long-term relationship.,#insurance,Post
59,Agent Value & Trust,"When rates change at renewal, I'm already shopping the market before you know there's a problem.",#insurance,Post
60,Agent Value & Trust,My job is to know your situation better than you know your own insurance. Annual reviews make that possible.,#insurance,Post
61,Agent Value & Trust,"I review every client's coverage annually — not because I have to, but because it's the right thing to do.",#insurance,Post
62,Agent Value & Trust,The policies I recommend are the ones I would buy for my own family. That's my personal standard.,#insurance,Post
63,Agent Value & Trust,"I serve clients across home, auto, life, and commercial lines — one call for everything you need.",#insurance,Post
64,Agent Value & Trust,The insurance industry isn't always transparent. I am. I'll always tell you the truth about your coverage.,#insurance,Post
65,Agent Value & Trust,"Behind every insurance policy is a person, a family, or a business counting on it. I don't take that lightly.",#insurance,Post
66,Agent Value & Trust,Your insurance should evolve as your life evolves. That's why an annual review with a trusted agent matters.,#insurance,Post
67,Agent Value & Trust,I'm available when you need me — not just at renewal time.,#insurance,Post
68,Agent Value & Trust,"My reputation is built one client, one claim, and one renewal at a time. I protect it fiercely.",#insurance,Post
69,Agent Value & Trust,Most agents disappear after the sale. I show up all year long.,#insurance,Post
70,Agent Value & Trust,"When you refer your friends and family to me, you're trusting me with the people you love most. I honor that.",#insurance,Post
71,Agent Value & Trust,The question isn't whether you can afford insurance — it's whether you can afford to go without it.,#insurance,Post
72,Agent Value & Trust,I didn't choose insurance because it was easy. I chose it because helping people protect what matters most is meaningful work.,#insurance,Post
73,Home & Auto Tips,"Raise your deductible from $500 to $1,000 and you could save 10-15% on your home insurance premium.",#insurance,Post
74,Home & Auto Tips,Installing a home security system can qualify you for a 5-15% discount on your homeowner's insurance.,#insurance,Post
75,Home & Auto Tips,Bundle your home and auto with the same carrier and you'll typically save 10-25% on both policies.,#insurance,Post
76,Home & Auto Tips,Update your home insurance after ANY major renovation. An uninsured improvement is a financial risk.,#insurance,Post
77,Home & Auto Tips,Review your home's 'dwelling coverage' limit annually — construction costs increase every year.,#insurance,Post
78,Home & Auto Tips,"If you have high-value jewelry, art, or collectibles, ask about a scheduled personal property endorsement.",#insurance,Post
79,Home & Auto Tips,Teen driver on your policy? Driver's Ed completion and good grades can significantly reduce your premium.,#insurance,Post
80,Home & Auto Tips,"If your vehicle is worth less than $5,000, consider dropping comprehensive and collision to reduce your premium.",#insurance,Post
81,Home & Auto Tips,Gap insurance covers the difference between what you owe on a financed vehicle and its actual cash value after a total loss.,#insurance,Post
82,Home & Auto Tips,New car replacement coverage pays for a brand-new vehicle (not depreciated value) if yours is totaled in the first few years.,#insurance,Post
83,Home & Auto Tips,Rideshare coverage is required if you drive for Uber or Lyft — your personal auto policy won't cover you during those trips.,#insurance,Post
