Day,Date,Pillar,Content Type,Caption Hook,Caption Angle,Visual Direction,CTA,Hashtag Set,Notes
1,[Fill in],Educational,Carousel - Tips,"Do you know the difference between pre-qualification and pre-approval?","Most first-time buyers get these confused. Pre-qualification is a quick estimate. Pre-approval is the real thing — with documentation. Here's why it matters when you're making an offer.","Slide 1: Bold question. Slides 2-5: Each difference as a visual point. Final slide: Your face + CTA","DM me PRE if you want my free lender referral list",SET B,"Week 1 — establish expertise"
2,[Fill in],Promotional,Single Image - Listing,"Just listed 📍 [Address]","Feature-led announcement for newest or best listing. Highlight top 3 features + price.","Bright exterior or kitchen hero shot","DM me to schedule a showing this week",SET A,
3,[Fill in],Engagement,Reel or Story Poll,"Rent vs. buy — which side are you on?","Poll: 'I'm Team Buy' vs 'I'm Team Rent.' Follow up with educational post in comments.","Simple talking-head reel or poll sticker on Story","Comment your answer below — I'll respond to every one",SET B,
4,[Fill in],Behind the Scenes,Story Series - 3 slides,"A day in my life as a [City] agent","Morning MLS review → afternoon showings → evening follow-up. Raw and real.","Phone photos throughout the day — no need to be polished","Follow along tomorrow for part 2",SET D,
5,[Fill in],Educational,Carousel,"5 things that lower your home's value (that sellers miss)","Common value-killers: deferred maintenance, clutter, pet odors, bad listing photos, overpricing. Each gets its own slide.","Dark background, white text, bold numbers. Icon per slide.","Save this if you're thinking about selling",SET B,
6,[Fill in],Testimonial,Single Quote Graphic,"What my clients say 💬","Feature one strong client quote about the buying or selling experience.","Client photo (with permission) or branded quote card","DM me to talk about your goals",SET C,
7,[Fill in],Market Update,Data Post - Infographic,"[City] market update — [Month] numbers","Median price / avg DOM / homes sold. Keep it clean and scannable.","Branded stat card with your colors","Comment with your neighborhood and I'll share local data",SET D,"End of week 1"
8,[Fill in],Educational,Carousel - Tips,"First-time buyer? Read this before making an offer.","The offer process explained: Pre-approval → search → offer → inspection → closing. Demystify each step.","Timeline graphic — simple left-to-right flow","Save this for when you're ready to start your search",SET B,
9,[Fill in],Promotional,Single Image - Just Sold,"JUST SOLD 🎉 [Street Name]","Celebrate recent close. Share days on market + sold price if comfortable. Lead with outcome.","Sold sign photo or exterior of home","Want these results? Let's talk. DM me 'SOLD'",SET C,
10,[Fill in],Educational,Reel - Tips,"The #1 mistake sellers make (and how to avoid it)","Overpricing. Explain how it kills momentum and often results in a lower net than pricing correctly from day one.","Talking head. Use captions for silent viewers.","DM me if you want a free pricing strategy call",SET B,
