Week,Date (Monday),Content Topic,Platform,Format,Caption Hook
Week 1,2026-01-06,3 signs your small business bookkeeping is a disaster,LinkedIn,Text Post,Most business owners don't know this about 3 signs your small business bo...
Week 2,2026-01-13,How to read your Profit & Loss statement,Instagram,Carousel,'How to read your Profit & Loss statement...' -- here's the truth
Week 3,2026-01-20,Why you need to reconcile your bank accounts every month,Facebook,Video,'Why you need to reconcile your bank acco...' -- here's the truth
Week 4,2026-01-27,Tax deductions most small business owners miss,LinkedIn,Text Post,Most business owners don't know this about tax deductions most small busi...
Week 5,2026-02-06,The difference between a bookkeeper and a CPA,Instagram,Story,'The difference between a bookkeeper and ...' -- here's the truth
Week 6,2026-02-13,How much should bookkeeping cost?,LinkedIn,Text Post,'How much should bookkeeping cost?...' -- here's the truth
Week 7,2026-02-20,Why cash flow is more important than profit,Instagram,Carousel,Most business owners don't know this about why cash flow is more importan...
Week 8,2026-02-27,QuickBooks tip: how to categorize transactions,Facebook,Video,'QuickBooks tip: how to categorize transa...' -- here's the truth
Week 9,2026-03-06,What is Chart of Accounts and why it matters,LinkedIn,Text Post,'What is Chart of Accounts and why it mat...' -- here's the truth
Week 10,2026-03-13,End-of-year bookkeeping checklist for small business,Instagram,Story,Most business owners don't know this about end-of-year bookkeeping checkl...
Week 11,2026-03-20,How to prepare for tax season starting January 1,LinkedIn,Text Post,'How to prepare for tax season starting J...' -- here's the truth
Week 12,2026-03-27,Should you use Wave or QuickBooks?,Instagram,Carousel,'Should you use Wave or QuickBooks?...' -- here's the truth
Week 13,2026-04-06,The true cost of DIY bookkeeping for a small business,Facebook,Video,Most business owners don't know this about the true cost of diy bookkeepi...
Week 14,2026-04-13,How to pay yourself as a business owner,LinkedIn,Text Post,'How to pay yourself as a business owner...' -- here's the truth
Week 15,2026-04-20,What is self-employment tax and how to plan for it,Instagram,Story,'What is self-employment tax and how to p...' -- here's the truth
Week 16,2026-04-27,S-Corp election: could it save you money?,LinkedIn,Text Post,Most business owners don't know this about s-corp election: could it save...
Week 17,2026-05-06,The 5 accounts every business owner should track weekly,Instagram,Carousel,'The 5 accounts every business owner shou...' -- here's the truth
Week 18,2026-05-13,How to handle personal expenses on a business card,Facebook,Video,'How to handle personal expenses on a bus...' -- here's the truth
Week 19,2026-05-20,What documents should you send your bookkeeper monthly,LinkedIn,Text Post,Most business owners don't know this about what documents should you send...
Week 20,2026-05-27,How to set up a business bank account,Instagram,Story,'How to set up a business bank account...' -- here's the truth
Week 21,2026-06-06,The most expensive bookkeeping mistake small businesses make,LinkedIn,Text Post,'The most expensive bookkeeping mistake s...' -- here's the truth
Week 22,2026-06-13,Quarterly estimated taxes: how to calculate them,Instagram,Carousel,Most business owners don't know this about quarterly estimated taxes: how...
Week 23,2026-06-20,Home office deduction: how to claim it correctly,Facebook,Video,'Home office deduction: how to claim it c...' -- here's the truth
Week 24,2026-06-27,Vehicle deduction: mileage method vs. actual expenses,LinkedIn,Text Post,'Vehicle deduction: mileage method vs. ac...' -- here's the truth
Week 25,2026-07-06,How to build a 6-month cash reserve for your business,Instagram,Story,Most business owners don't know this about how to build a 6-month cash re...
Week 26,2026-07-13,What to look for when hiring a bookkeeper,LinkedIn,Text Post,'What to look for when hiring a bookkeepe...' -- here's the truth
Week 27,2026-07-20,Red flags in your financial statements,Instagram,Carousel,'Red flags in your financial statements...' -- here's the truth
Week 28,2026-07-27,How to use bookkeeping to make better business decisions,Facebook,Video,Most business owners don't know this about how to use bookkeeping to make...
Week 29,2026-08-06,What is accounts receivable and how to manage it,LinkedIn,Text Post,'What is accounts receivable and how to m...' -- here's the truth
Week 30,2026-08-13,Client success story: from shoe-box receipts to clean books,Instagram,Story,'Client success story: from shoe-box rece...' -- here's the truth
Week 31,2026-08-20,My 10-step monthly bookkeeping routine (for business owners),LinkedIn,Text Post,Most business owners don't know this about my 10-step monthly bookkeeping...
Week 32,2026-08-27,The right way to handle owner draws and investments,Instagram,Carousel,'The right way to handle owner draws and ...' -- here's the truth
