Day,Content Type,Topic,Hook
1,Education,Estate Planning 101,"Every adult needs these 4 legal documents — do you have them?"
2,Social Proof,Review,"This client came in overwhelmed. Left with a clear plan."
3,Education,Will vs Trust,"Will vs living trust — what's the difference and which do you need?"
4,BTS,Our Process,"What actually happens in your first consultation with us"
5,Education,Know Your Rights,"5 legal rights most people don't know they have"
6,Engagement,Poll,"Do you have an updated will or estate plan?"
7,Promotion,Consultation,"Free consultation available this week — limited spots"
8,Social Proof,Testimonial,"'They made a terrifying process feel manageable.' — [Client]"
9,Education,POA,"Power of attorney explained — and why everyone needs one"
10,Trust Builder,Our Team,"Meet [Attorney] — [X] years of experience in [practice area]"
11,Education,Legal Myths,"The most common legal myth that could cost you thousands"
12,Social Proof,5-Star Review,"'Clear, compassionate, and always available to answer questions.'"
13,Education,Business Law,"Starting a business? Here are 3 legal things to do first"
14,Promotion,Estate Planning,"Estate planning doesn't have to be complicated. We make it simple."
15,Education,Family Law,"What happens to assets in a divorce — the basics explained"
16,Social Proof,Case Outcome,"A successful resolution in a [matter type] case — [outcome without identifying details]"
17,Education,Employment Law,"When you might have an employment claim — the signs to watch for"
18,Engagement,FAQ,"Your legal questions answered — in plain English"
19,Promotion,Referral,"Know someone who needs legal guidance? Send them our way."
20,Education,Personal Injury,"If you've been in an accident — do this before doing anything else"
21,Trust Builder,Community,"We're proud to serve the [City] community. Here's what that means to us."
22,Education,Beneficiaries,"The beneficiary designation mistake that overrides your will"
23,BTS,Day in the Firm,"What a [practice area] day looks like at [Firm Name]"
24,Education,Criminal Defense,"Your rights if you're ever questioned by police — know them"
25,Promotion,Free Review,"Have an existing legal document that needs review? Start here."
26,Social Proof,Long-Term Client,"Families trust us with their most important matters. Here's why."
27,Education,Real Estate Law,"3 things to do before signing any real estate contract"
28,Engagement,Question,"What's your biggest legal concern or question? Drop it below."
29,Education,Immigration,"Key immigration terms explained in plain language"
30,Trust Builder,Our Promise,"What you can always expect from [Firm Name]"
