Caption #,Category,Angle,Caption
1,Authority,Share a market perspective or insight,"Most buyers worry about the wrong things during the mortgage process.

Today's angle is to share a market perspective or insight. Start with one concrete situation your audience recognises, explain why it matters, then give them one specific action they can take today. Keep the message specific to [ideal client] and connect it to [desired outcome].

DM me 'READY' to get started."
2,Engagement,Ask a question or invite a response,"What is the most confusing part of the mortgage process? Drop it in the comments.

Today's angle is to ask a question or invite a response. Start with one concrete situation your audience recognises, explain why it matters, then give them one specific action they can take today. Keep the message specific to [ideal client] and connect it to [desired outcome].

Save this for your next client conversation."
3,Testimonials,Share a client win or result,"Most buyers worry about the wrong things during the mortgage process.

Today's angle is to share a client win or result. Start with one concrete situation your audience recognises, explain why it matters, then give them one specific action they can take today. Keep the message specific to [ideal client] and connect it to [desired outcome].

Follow for weekly mortgage insights."
4,Sales,Connect your service to a problem,"Most buyers worry about the wrong things during the mortgage process.

Today's angle is to connect your service to a problem. Start with one concrete situation your audience recognises, explain why it matters, then give them one specific action they can take today. Keep the message specific to [ideal client] and connect it to [desired outcome].

Book a free rate check through the link in bio."
5,Storytelling,Share a turning point or personal insight,"Most buyers worry about the wrong things during the mortgage process.

Today's angle is to share a turning point or personal insight. Start with one concrete situation your audience recognises, explain why it matters, then give them one specific action they can take today. Keep the message specific to [ideal client] and connect it to [desired outcome].

Drop your question in the comments."
6,Lead Generation,Offer a resource or checklist,"Most buyers worry about the wrong things during the mortgage process.

Today's angle is to offer a resource or checklist. Start with one concrete situation your audience recognises, explain why it matters, then give them one specific action they can take today. Keep the message specific to [ideal client] and connect it to [desired outcome].

DM me 'READY' to get started."
7,Community,Celebrate clients or the homebuying journey,"Most buyers worry about the wrong things during the mortgage process.

Today's angle is to celebrate clients or the homebuying journey. Start with one concrete situation your audience recognises, explain why it matters, then give them one specific action they can take today. Keep the message specific to [ideal client] and connect it to [desired outcome].

Save this for your next client conversation."
8,Promotions,Announce an offer or availability,"Most buyers worry about the wrong things during the mortgage process.

Today's angle is to announce an offer or availability. Start with one concrete situation your audience recognises, explain why it matters, then give them one specific action they can take today. Keep the message specific to [ideal client] and connect it to [desired outcome].

Follow for weekly mortgage insights."
9,Myth Busting,Correct a common misconception,"Most buyers worry about the wrong things during the mortgage process.

Today's angle is to correct a common misconception. Start with one concrete situation your audience recognises, explain why it matters, then give them one specific action they can take today. Keep the message specific to [ideal client] and connect it to [desired outcome].

Book a free rate check through the link in bio."
10,Education,Teach one mortgage concept,"Your credit score is just one of five things lenders look at.

Today's angle is to teach one mortgage concept. Start with one concrete situation your audience recognises, explain why it matters, then give them one specific action they can take today. Keep the message specific to [ideal client] and connect it to [desired outcome].

Drop your question in the comments."
