Day,Date,Pillar,Content Type,Caption Hook,Caption Angle,Visual Direction,CTA,Hashtag Set,Notes
1,[Fill in],Educational,Carousel - Tips,"Most people brush wrong. Here's what dentists actually recommend:","Correct brushing technique: angle, motion, time, pressure. 5 slides — one point each.","Infographic style. Branded colors. Toothbrush icon.","Save this as a reminder",SET A,"Week 1 — establish education authority"
2,[Fill in],Promotional,Single Image,"New patients welcome at [Practice Name] — book this week","Friendly new patient invitation. Include offer if available. Lead with warmth.","Team photo or bright office exterior","Call us or book online",SET B,
3,[Fill in],Engagement,Story Poll,"Quick poll: how often do you floss?","A: Every day  B: Few times/week  C: Before dentist visits  D: Rarely","Poll sticker on Story background","Follow for tomorrow's results + dental tip",SET A,
4,[Fill in],Behind the Scenes,Story Sequence 3 slides,"A day at [Practice Name] — morning edition","Morning huddle → first patient greeting → treatment room setup","Candid phone photos from team","Follow to see afternoon edition","No set",
5,[Fill in],Educational,Single Image,"Flossing BEFORE brushing is more effective. Here's why:","Floss first to loosen debris, brush sweeps it away. Counterintuitive but backed by research.","Simple graphic: Floss → Brush with arrow","Save and share with your family",SET A,
6,[Fill in],Patient Story,Quote Graphic,"⭐⭐⭐⭐⭐ 'I was terrified. They made me feel completely at home.'","Feature real Google/Facebook review. Patient name (first only or initials).","Branded dark background with gold/accent quote styling","DM us to book your first visit",SET C,
7,[Fill in],Seasonal/Local,Single Image or Reel,"[Month] dental tip: [seasonal relevance]","Connect seasonal moment to a dental habit or health reminder","Seasonal imagery + your branding","Book your [month] appointment",SET E,"End of Week 1"
8,[Fill in],Educational,Carousel,"5 foods that are secretly destroying your enamel (and 5 that help)","Enemies: soda/citrus/sports drinks/crackers/sticky candy. Allies: cheese/water/veg/nuts/dairy","Two-column graphic — red X vs green check","Save this for your next grocery run",SET A,
9,[Fill in],Promotional,Single Image,"Thinking about Invisalign? Here's what our patients say after completing treatment","Real outcome / transformation angle. Lead with result not process.","Smile photo (with patient consent) or before/after slide","DM us 'INVISALIGN' for a free consult",SET B,
10,[Fill in],Educational,Reel - Talking Head,"The real reason your gums bleed when you floss (and why you shouldn't stop)","Gum inflammation → bacteria → bleeding. More flossing = less bleeding in 2 weeks. Counter-intuitive.","Selfie-style camera. Subtitled for silent viewing.","Comment with questions — I answer every one",SET A,
11,[Fill in],Engagement,Feed Post,"Would you rather: perfect teeth or perfect skin? (Only pick one)","Fun debate post. Take a side yourself in the caption.","Bold simple graphic with two options","Comment A or B below 👇",SET A,
12,[Fill in],Behind the Scenes,Reel or Story,"What happens between patients (the part nobody sees)","Sterilization, room reset, chart review, patient prep — the care behind the care","Timelapse or quick walkthrough of the process","Follow for more practice content",SET D,
13,[Fill in],Promotional,Carousel,"Before you Google 'how to whiten teeth at home' — read this","DIY risks vs professional whitening outcomes. Not fearmongering — just honest comparison.","3-slide comparison: DIY cost/result vs Professional","DM us to ask about our whitening options","SET B","End of Week 2"
14,[Fill in],Educational,Single Image or Infographic,"Your insurance benefits reset January 1. Here's what you get every year.","Break down what a typical PPO covers: 2 cleanings 100%, X-rays 100%, fillings 70-80%, etc.","Simple list graphic. Gold/brand color accents.","Call us to use your benefits before [year end]",SET A,
15,[Fill in],Patient Story,Video or Quote,"'I hadn't been in 7 years. They never made me feel judged.' — [Name]","Long-form patient story or quote about dental anxiety and your team's approach","Video testimonial or designed quote card","DM us if you've been putting it off — we understand",SET C,
16,[Fill in],Engagement,Story - Question Box,"What's your biggest question about dental health? Ask me anything.","Open Q&A — answer top questions in follow-up Stories or a feed post","Question sticker on branded Story slide","Reply to this Story with your question","No set",
17,[Fill in],Educational,Carousel,"What your dentist is actually looking for during a checkup (it's more than teeth)","Oral cancer screening, gum health assessment, jaw check, bone level review, soft tissue","5 slides — one per thing we're checking beyond teeth","Save this — your checkup is a health screening",SET A,
18,[Fill in],Promotional,Single Image,"Emergency dental care — same-day appointments available at [Practice Name]","For anyone in pain right now. Direct, urgent, clear CTA.","Red/urgent graphic OR calm photo with clear text","Call [Phone] — we may be able to see you today",SET B,
19,[Fill in],Behind the Scenes,Team Spotlight Photo + Caption,"Meet [Team Member] — [Role] at [Practice Name] for [X] years","Personal intro: what they love about their work + one fun fact","Friendly professional headshot or candid","Leave a comment for [name]!",SET D,
20,[Fill in],Engagement,Reel - Opinion,"Hot take: the best investment in your appearance costs less than you think","Whitening / Invisalign / bonding — result vs cost comparison. Confidence ROI angle.","Talking head or text overlay reel","Agree or disagree? Comment below",SET A,"End of Week 3"
21,[Fill in],Educational,Carousel,"Kid's teeth: everything parents need to know by age (0-12)","Age milestones: first tooth, first visit, fluoride timing, first X-ray, sealants, orthodontic eval","Timeline graphic — colorful, kid-friendly","Save and share with a parent",SET A,
22,[Fill in],Promotional,Before/After or Results,"[Service] results at [Practice Name] — see the difference","Focus on one service: whitening / bonding / veneers / Invisalign. Before and after if available.","Before/after split image (with consent) or results graphic","DM us for your free consultation",SET B,
23,[Fill in],Engagement,Single Image,"Rate your oral hygiene last week (1-10) — no judgment zone","Playful call for self-assessment. Respond in comments with encouragement.","Simple bold graphic: 1 — 10 scale","Drop your number in the comments 👇",SET A,
24,[Fill in],Behind the Scenes,Story Series,"What goes into a smile makeover — the process nobody shows you","Before consultation → records → planning → treatment day → reveal. Multiple story slides.","Clinical but warm photos. Annotated if helpful.","DM us 'MAKEOVER' if you're curious about your options","No set",
25,[Fill in],Patient Story,Quote or Reel,"Before this practice, I'd cancelled 3 dentist appointments in a row.","Anxiety patient success story — fear → first visit → trusted patient.","Warm lighting, confident patient photo OR text quote","You don't have to keep cancelling. We're here.",SET C,
26,[Fill in],Educational,Single Image or Carousel,"3 signs your wisdom teeth might need to come out","Crowding, pain, repeated infections, trapped food, cysts — when extraction makes sense","Bold graphic with 3 illustrated icons","DM us if you have wisdom tooth questions",SET A,
27,[Fill in],Seasonal,Promotion Post,"[Month-specific promotion — insurance, holiday, event]","Timely, clear offer. Limited dates. Single action.","Branded promotional graphic","Book by [date]",SET E,
28,[Fill in],Engagement,Reel,"Tell me you've skipped the dentist without TELLING me you've skipped the dentist","Trending reel format — fill in the blank / audience participation","Casual, fun talking head OR text overlay reel","Tag someone who needs to book their appointment 😅",SET A,
