Day,Date_Placeholder,Pillar,Content_Type,Caption_Hook,Visual_Direction,CTA,Hashtag_Set,Notes
1,Week 1 - Day 1,Real Weddings & Portfolio,Single Image,"This garden ceremony made every single guest tear up instantly.",Sunlit outdoor ceremony with floral arch and guests wiping tears in background,Tag a couple who needs this magic for their big day,Set A,Use golden hour lighting; portrait orientation works best
2,Week 1 - Day 2,Educational & Planning Tips,Carousel,"5 questions you must ask every venue before signing anything.",Slide 1 bold text on neutral linen background; slides 2-6 each show one question with icon,Save this post before your next venue tour,Set B,Keep slides clean and readable; include venue red-flag checklist
3,Week 1 - Day 3,Behind the Planning,Reels,"What my Monday morning actually looks like as a wedding planner.",Time-lapse of planner desk with coffee vendor calls laptop open color-coded binders,Follow along for a real week-in-the-life series,Set C,Shoot vertical; upbeat background music; keep it under 30 seconds
4,Week 1 - Day 4,Real Weddings & Portfolio,Carousel,"Swipe through every detail of this dreamy coastal celebration.",Carousel opens with wide beach venue shot; subsequent slides show rings florals tablescape couple portraits,Drop the heart emoji if you love coastal weddings,Set A,Consistent warm filter across all slides; end slide with planner credit
5,Week 1 - Day 5,Love Weddings & Romance,Single Image,"Real love looks like stealing a quiet moment between the chaos.",Candid bride and groom forehead-to-forehead in soft bokeh garden setting,Send this to your partner right now,Set D,Black and white edit adds timeless feel; no props needed
6,Week 1 - Day 6,Behind the Planning,Stories,"Swipe up to see everything that happened before the ceremony started.",Story sequence of morning setup shots: vendor arrivals florals being arranged chair placement,Reply with your biggest day-of fear,Set C,Keep text overlays minimal; use tap-to-reveal sticker for drama
7,Week 2 - Day 1,Real Weddings & Portfolio,Reels,"30 seconds of the most beautiful wedding I planned this season.",Fast-cut reel of ceremony entrance first dance reception details and bouquet toss,DM me if you want to chat about your date,Set A,Sync cuts to beat drops; use trending audio; include venue tag
8,Week 2 - Day 2,Engagement & Community,Story Polls,"Which wedding trend are you obsessed with right now?",Poll slide with two side-by-side images: dried pampas grass vs. lush greenery florals,Vote and share your dream aesthetic in the comments,Mix A+C,Run poll for 24 hours; reshare results in follow-up story
9,Week 2 - Day 3,Educational & Planning Tips,Carousel,"The vendor payment timeline nobody tells you about until it is too late.",Slide 1 dramatic hook text; slides 2-8 show monthly payment milestones on a clean timeline graphic,Screenshot this and send it to your planner now,Set B,Use calendar graphic template; red highlight for deposit deadlines
10,Week 2 - Day 4,Real Weddings & Portfolio,Single Image,"A black-tie ballroom wedding that set the standard for elegant.",Grand ballroom reception shot with chandelier candlelight and floral centerpieces,Tell me your dream reception vibe in the comments,Set A,Shoot wide to capture full room scale; no guests visible for privacy
11,Week 2 - Day 5,Behind the Planning,Reels,"The 48 hours before a wedding are absolute organized chaos.",Behind-the-scenes reel: final vendor confirmations venue walkthrough emergency kit packing,Follow me so you never miss a peek behind the curtain,Set C,Show the planner in action; candid energy keeps it authentic
12,Week 2 - Day 6,Love Weddings & Romance,Carousel,"Every couple has a love language. Does yours match your wedding style?",Slide 1 couple portrait; slides 2-6 match love languages to decor styles with mood imagery,Share this with your partner and compare answers,Set D,Warm romantic palette throughout; use script font overlays on images
13,Week 3 - Day 1,Real Weddings & Portfolio,Single Image,"When the florals are so good they stop every guest in their tracks.",Lush floral installation at ceremony entrance with dramatic arch and hanging blooms,Tag your florist if this is the energy you want,Mix A+B,Feature florist credit prominently; tag collaborating vendor in post
14,Week 3 - Day 2,Promotions & Services,Carousel,"Here is exactly what you get when you book full-service planning.",Slide 1 bold offer graphic; slides 2-7 each showcase a service pillar with real photo examples,Book your free discovery call using the link in bio,Set E,Include social proof quote on final slide; use brand colors throughout
15,Week 3 - Day 3,Educational & Planning Tips,Single Image,"Your wedding budget has 12 categories. Most couples only track 4.",Clean infographic with pie chart showing the 12 standard budget categories and ideal percentages,Save this so you can build your budget the right way,Set B,White background infographic; use brand accent color for highlights
16,Week 3 - Day 4,Real Weddings & Portfolio,Reels,"This first dance had the whole room holding their breath.",Slow-motion clip of first dance with emotion on couple and guests faces then wide room shot,DM the word DANCE if you want song recommendations,Set A,Cinematic slow-mo works best; pair with instrumental version of their song
17,Week 3 - Day 5,Behind the Planning,Single Image,"My planning binder is color-coded for a very specific reason.",Flat lay of open planner binder showing color-coded tabs timelines and vendor contact sheets,Drop a star if you are a fellow color-coding lover,Set C,Good overhead lighting; style with coffee mug and pen for warmth
18,Week 3 - Day 6,Love Weddings & Romance,Stories,"Vote: ceremony in the morning or ceremony at sunset?",Two side-by-side ceremony photos with poll sticker; morning light vs. golden sunset backdrop,Share your choice and tell me why in the DMs,Set D,Use bright engaging story graphics; add countdown to next post reveal
19,Week 4 - Day 1,Real Weddings & Portfolio,Carousel,"Swipe to see how we transformed a blank warehouse into pure magic.",Before photo on slide 1; after reveal on slide 2; details fills slides 3-8 with close-up shots,If this is your dream venue vibe drop a fire emoji,Mix A+B,The before/after reveal format drives strong save and share rates
20,Week 4 - Day 2,Engagement & Community,Single Image,"This is your sign to start planning your dream wedding today.",Flat lay of wedding planning essentials: ring photo invitation sample swatches and notebook,Drop your wedding month below and let us celebrate you,Mix A+C,Bright clean styling; works well for saves; encourage community comments
