Day,Content Type,Topic,Hook
1,Education,Filter Replacement,"The #1 DIY thing every homeowner should do for their HVAC system"
2,Social Proof,5-Star Review,"Read what [City] homeowners are saying"
3,Service Spotlight,AC Tune-Up,"Why spring AC tune-ups save you money all summer"
4,BTS,Service Call,"A look at what our technicians check on every service call"
5,Education,Thermostat Settings,"The thermostat setting that balances comfort and efficiency"
6,Engagement,Poll,"When was your last HVAC tune-up?"
7,Promotion,Spring Campaign,"Spring tune-up spots are open — grab yours before June"
8,Social Proof,Before/After,"Old unit vs new install: the efficiency difference"
9,Education,Refrigerant,"AC refrigerant explained — what it does and when to call us"
10,Trust Builder,Years in Business,"[X] years serving [City]. Here's what we've learned."
11,Service Spotlight,Maintenance Agreement,"What our Comfort Care Agreement actually includes"
12,Education,Warning Signs,"5 sounds your HVAC should never make"
13,Social Proof,Testimonial,"'Called at 10pm. Tech was there by 7am. Incredible service.'"
14,Promotion,Referral,"Refer a friend to [Company]. You both get rewarded."
15,BTS,Team Feature,"Meet [Technician] — [X] years keeping [City] comfortable"
16,Education,Energy Efficiency,"Simple changes that can cut your cooling bill by 20%"
17,Social Proof,Google Review,"5 stars — 'Honest, fast, and fairly priced. Will never call anyone else.'"
18,Engagement,FAQ,"Your top 5 HVAC questions — answered by a licensed tech"
19,Promotion,Emergency,"AC emergency? We're available 24/7. Here's the number."
20,Service Spotlight,Air Quality,"Indoor air quality: what it is, why it matters, how to improve it"
21,Education,Unit Lifespan,"How long should your AC or furnace actually last?"
22,Social Proof,Long-Term Customer,"[Client] has been with us for [X] years. This is their latest service."
23,BTS,Equipment,"The brands we install and why we trust them"
24,Education,DIY vs Pro,"What you can safely DIY and what definitely needs a professional"
25,Promotion,Fall Campaign,"Heating season is coming. Is your furnace ready? Book now."
26,Engagement,Question,"What's your biggest home comfort challenge?"
27,Trust Builder,Guarantee,"Our workmanship guarantee — and what it actually means for you"
28,Education,Duct Cleaning,"Air duct cleaning: worth it or not? The honest answer."
29,Social Proof,Review Request,"If we've served you, we'd love to hear from you. [Link]"
30,Promotion,Limited Slots,"[X] slots open this month. Book your service call today."
