Product Name,Listing Date,Listing URL,Category,Price,Views (Month),Favorites (Month),Sales (Month),Revenue (Month),Conversion Rate %,Average Rating,Keywords Used,Listing Status,Improvement Notes
Ultimate Budget Planner Printable,2024-01-15,https://www.etsy.com/listing/123456781/ultimate-budget-planner-printable,Planners & Trackers,$7.99,2847,198,85,$679.15,2.99%,4.9,"budget planner printable, monthly budget template, financial planner, money tracker, budget worksheet, printable planner, personal finance",Active,Top seller - consider creating a bundle with income tracker
Monthly Habit Tracker Printable,2024-02-03,https://www.etsy.com/listing/123456782/monthly-habit-tracker-printable,Planners & Trackers,$4.99,1923,142,61,$304.39,3.17%,4.8,"habit tracker printable, monthly habit tracker, routine tracker, daily habits, self improvement planner, habit chart printable, wellness tracker",Active,Add color variation options to listing photos
Small Business Expense Tracker Excel,2024-01-28,https://www.etsy.com/listing/123456783/small-business-expense-tracker-excel,Business Templates,$12.99,1654,117,48,$623.52,2.90%,4.9,"small business expense tracker, business spreadsheet, expense log template, self employed taxes, freelancer tracker, business finance, bookkeeping template",Active,Update thumbnail to show Google Sheets compatibility
Weekly Meal Planner Printable,2024-03-10,https://www.etsy.com/listing/123456784/weekly-meal-planner-printable,Home & Lifestyle,$5.99,1102,89,34,$203.66,3.09%,4.7,"meal planner printable, weekly meal plan, dinner planner, grocery list printable, family meal planning, food planner, weekly menu template",Active,Add a seasonal meal planner variation
Social Media Content Calendar Template,2024-02-20,https://www.etsy.com/listing/123456785/social-media-content-calendar-template,Business Templates,$9.99,987,76,29,$289.71,2.94%,4.8,"social media planner, content calendar template, instagram planner, content strategy, social media scheduler, marketing calendar, digital marketing template",Active,Create a Google Sheets version as an upsell
Watercolor Floral Digital Art Print,2024-03-05,https://www.etsy.com/listing/123456786/watercolor-floral-digital-art-print,Digital Art & Prints,$6.99,743,64,22,$153.78,2.96%,4.6,"watercolor floral print, digital wall art, printable art, botanical print, floral wall decor, downloadable art, home decor printable",Active,Add more size options (A3, 5x7, square)
Invoice Template for Freelancers,2024-01-10,https://www.etsy.com/listing/123456787/invoice-template-for-freelancers,Business Templates,$8.99,856,58,26,$233.74,3.04%,4.9,"invoice template, freelancer invoice, professional invoice, editable invoice, photoshop invoice, canva invoice template, small business invoice",Active,Add a Word/Google Docs version
Self-Care Journal Printable,2024-04-01,https://www.etsy.com/listing/123456788/self-care-journal-printable,Journals & Notebooks,$6.49,612,47,18,$116.82,2.94%,4.7,"self care journal, printable journal, mental health journal, wellness journal, self care planner, mindfulness printable, daily reflection journal",Active,Add a guided prompt version as a premium tier
Student Study Planner Printable,2024-03-22,https://www.etsy.com/listing/123456789/student-study-planner-printable,Planners & Trackers,$5.49,534,41,15,$82.35,2.81%,4.5,"student planner printable, study planner, school planner, college planner, homework tracker, academic planner, exam study schedule",Active,Back to school season coming - update keywords and photos
Etsy Shop Business Tracker Spreadsheet,2024-02-14,https://www.etsy.com/listing/123456790/etsy-shop-business-tracker-spreadsheet,Business Templates,$14.99,478,39,13,$194.87,2.72%,4.8,"etsy seller spreadsheet, etsy shop tracker, etsy business planner, etsy income tracker, seller analytics, etsy profit tracker, online seller tools",Active,Add tutorial video to listing
Minimalist Daily Planner Printable,2024-04-15,https://www.etsy.com/listing/123456791/minimalist-daily-planner-printable,Planners & Trackers,$4.49,389,28,10,$44.90,2.57%,4.6,"minimalist planner, daily planner printable, simple planner, to do list printable, daily schedule template, productivity planner, undated daily planner",Active,A/B test new thumbnail with lifestyle mockup
Botanical Watercolor Clipart Bundle,2024-03-18,https://www.etsy.com/listing/123456792/botanical-watercolor-clipart-bundle,Digital Clipart,$11.99,267,22,7,$83.93,2.62%,4.7,"botanical clipart, watercolor clipart, floral clipart bundle, plant clipart, digital clipart, commercial use clipart, scrapbooking elements",Active,Expand bundle with additional leaf and stem designs
Password Manager Printable,2024-05-02,https://www.etsy.com/listing/123456793/password-manager-printable,Home & Lifestyle,$3.99,198,14,5,$19.95,2.53%,4.4,"password tracker printable, password log, internet password organizer, login tracker, website password list, password keeper, security organizer",Active,Improve SEO — low visibility; test new title and tags
Wedding Budget Planner Spreadsheet,2024-04-28,https://www.etsy.com/listing/123456794/wedding-budget-planner-spreadsheet,Wedding Planning,$13.99,143,11,3,$41.97,2.10%,4.8,"wedding budget planner, wedding spreadsheet, wedding finance tracker, bride planner, wedding expense tracker, wedding planning template, bridal budget",Active,Add seasonal wedding keywords; promote in Pinterest wedding boards
Fitness & Workout Log Printable,2024-05-20,https://www.etsy.com/listing/123456795/fitness-workout-log-printable,Health & Wellness,$5.99,50,5,2,$11.98,4.00%,4.2,"workout log printable, fitness tracker, exercise planner, gym log, weight training tracker, fitness journal, weekly workout schedule",Draft,New listing - complete SEO optimization and add 5+ listing photos before activating
