Day,Date,Pillar,Caption Type,Caption Number,Content Hook (First Line),Best Hashtag Set,Photo/Video Idea,Notes
1,[DATE],Educational,Training Science,Educational #1,"Progressive overload is the single most important principle in fitness.",SET 1,"Infographic or you pointing at a whiteboard with the concept",High save potential
2,[DATE],Promotional,Booking CTA,Promotional #1,"Tired of guessing what to do in the gym?",SET 4,"Your studio / gym space looking clean and professional",Add your city + booking link
3,[DATE],Behind the Scenes,Coach Life,BTS #2,"What goes into building a custom training program:",SET 6,"Flat lay of notebook with program design notes",Builds authority
4,[DATE],Engagement,Poll,Engagement #2,"Quick poll — what's your biggest barrier to consistent training?",SET 7,"Casual gym photo or you mid-workout",High comment driver
5,[DATE],Promotional,Transformation Story,Promotional #11,"The client who said 'I just want to feel better' — 12 weeks later:",SET 5,"Before/after with client permission",Real results = trust
6,[DATE],Educational,Nutrition Science,Educational #2,"Protein timing myth: you do NOT need to eat protein within 30 minutes.",SET 9,"Protein sources flat lay or post-workout photo",Myth-busting = reach
7,[DATE],Testimonial,Client Review,Testimonial #3,"Google review this week:",SET 8,"Screenshot of real review",Add star emojis
8,[DATE],Promotional,Weekend Booking,Promotional #4,"The 12-week transformation program:",SET 4,"Your nicest program overview graphic",Update your real details
9,[DATE],Educational,Recovery,Educational #8,"Sleep is the most underrated performance enhancer in existence.",SET 1,"Bedroom flat lay or sleep tracker screenshot",Save-worthy content
10,[DATE],Engagement,Community Question,Engagement #7,"Fill in the blank: the best thing that happened when I started...",SET 7,"Motivational gym photo",Very high comment rate
11,[DATE],Behind the Scenes,Client Story,BTS #3,"The client who almost quit last Tuesday.",SET 6,"Candid training photo (with permission)",Emotional and relatable
12,[DATE],Promotional,Online Coaching,Promotional #3,"Online coaching is now open.",SET 10,"You on a laptop or phone — coaching setup",Global reach post
13,[DATE],Educational,Compound Movements,Educational #9,"The compound vs. isolation exercise hierarchy:",SET 1,"You performing a compound lift",Save-worthy reference
14,[DATE],Testimonial,Transformation,Testimonial #2,"Before: [describe]. After:",SET 5,"Your best before/after split photo",Request permission first
15,[DATE],Promotional,Value Anchor,Promotional #35,"The truth about what you're paying for when you hire a personal trainer:",SET 4,"Professional photo of you coaching",Addresses objections
16,[DATE],Educational,Fat Loss,Educational #46,"The hierarchy of fat loss:",SET 2,"Clean infographic or whiteboard breakdown",High save + share
17,[DATE],Engagement,Memory,Engagement #18,"What was the first workout that made you actually sore?",SET 7,"Old gym photo or throwback",High comment rate
18,[DATE],Behind the Scenes,Programming,BTS #6,"Program design day.",SET 6,"Your laptop or notebook with programs visible",Professional credibility
19,[DATE],Promotional,Social Proof,Promotional #22,"[X] of my clients this year hit a goal they'd tried to reach for 3+ years.",SET 4,"Group training or studio shot",Trust builder
20,[DATE],Educational,Creatine,Educational #22,"Creatine: the most researched supplement in sports science.",SET 1,"Creatine tub flat lay or supplement shelf",Science content = saves
21,[DATE],Testimonial,Long-Term Client,Testimonial #7,"[X] years ago she walked into the gym barely able to do a bodyweight squat.",SET 8,"Then/now photo or milestone achievement",Loyalty = social proof
22,[DATE],Engagement,One Word,Engagement #49,"The best feeling in fitness is _______.",SET 7,"Your best training action shot",Easy to answer = comments
23,[DATE],Behind the Scenes,End of Day,BTS #10,"End of day debrief — what went well and what I'll do differently.",SET 6,"Clean-up / empty gym photo",Authentic work ethic
24,[DATE],Promotional,Referral,Promotional #32,"The referral program at [GYM/STUDIO NAME]:",SET 4,"You and a client smiling post-session",Growth and retention
25,[DATE],Educational,Glutes,Educational #23,"Why your glutes aren't growing (even though you train them):",SET 3,"Hip thrust demonstration video",Highly searched topic
26,[DATE],Engagement,Cardio vs Weights,Engagement #21,"Cardio person or weights person?",SET 7,"You doing both — split image",Strong debate post
27,[DATE],Behind the Scenes,Milestone,BTS #47,"[GYM/STUDIO NAME] milestone: [X] clients trained since opening.",SET 6,"Shop / studio photo with team if applicable",Celebratory post
28,[DATE],Promotional,Seasonal,Promotional #7,"New year, same commitment to results.",SET 4,"New Year / goal-setting themed photo",Use for upcoming holiday
29,[DATE],Educational,Zone 2,Educational #36,"Zone 2 cardio: the most underused tool in fitness.",SET 1,"You on a treadmill or bike at low intensity",Trending fitness topic
30,[DATE],Testimonial,Best of Month,Testimonial #40,"The review that stopped me in my tracks:",SET 8,"Your best transformation of the month","End strong — recap month"
