Day,Day of Week,Content Type,Topic,Caption Hook
1,Monday,Education,Botox 101,"Botox myth vs reality — what actually happens when you get injected"
2,Tuesday,Social Proof,5-Star Review,"Sharing a review that made our week: [paste review]"
3,Wednesday,Service Spotlight,Lip Filler,"Everything you wanted to know about lip filler but were afraid to ask"
4,Thursday,BTS,Behind the Scenes,"A day in the life at [Spa Name] — the prep, the precision, the care"
5,Friday,Promotion,Weekend Offer,"Weekend openings just became available — here's how to grab one"
6,Saturday,Engagement,Poll,"Poll: What's your #1 skin concern right now?"
7,Sunday,Education,SPF Reminder,"The most powerful anti-aging product is also the most affordable"
8,Monday,Before/After,Results Post,"Natural. Refreshed. Still her. [Before/After result]"
9,Tuesday,Education,Filler Types,"Juvederm vs Restylane — how we choose the right product for you"
10,Wednesday,Social Proof,Testimonial,"She said she'd been thinking about it for 3 years. Here's what happened"
11,Thursday,Service Spotlight,Microneedling,"Tiny needles. Big results. Here's what microneedling actually does"
12,Friday,Engagement,FAQ,"Your top 5 Botox questions — answered honestly"
13,Saturday,Promotion,Flash Offer,"Flash: 3 slots just opened this Saturday. First come, first served"
14,Sunday,Lifestyle,Self-Care,"Investing in yourself isn't vanity. It's self-respect."
15,Monday,Education,Timeline,"When do results actually kick in? The honest timeline for every treatment"
16,Tuesday,Social Proof,Review,"5 stars: 'I was nervous but the team made me feel completely at ease'"
17,Wednesday,Service Spotlight,Chemical Peel,"Peel season is here. Here's what to expect before, during, and after"
18,Thursday,BTS,Team Feature,"Meet [Team Member] — [years] of experience and a passion for natural results"
19,Friday,Promotion,Monthly Special,"[Month] special: [offer details] — available for the next [X] days"
20,Saturday,Education,Aftercare,"Post-treatment care matters. Here's exactly what to do after Botox"
21,Sunday,Engagement,Community,"Tag someone who deserves to feel their most confident self"
22,Monday,Before/After,Skin Transformation,"6 months of consistent treatment. This is what commitment looks like"
23,Tuesday,Education,Prevention,"Why women in their late 20s are starting Botox — and why it makes sense"
24,Wednesday,Social Proof,Google Review,"Just got this review and had to share. This is why we do what we do"
25,Thursday,Service Spotlight,Laser,"Laser for [concern]: what it treats, what to expect, and how many sessions"
26,Friday,Promotion,Consultation,"Free consultations this week. No pressure, just honest advice. DM us."
27,Saturday,Education,Budget,"Is aesthetic medicine worth it? Here's how clients actually think about cost"
28,Sunday,Lifestyle,Confidence,"The moment you stop hiding and start showing up — that's the real glow up"
29,Monday,Engagement,Quiz,"Which treatment is right for you? Take our 30-second quiz [Link]"
30,Tuesday,Social Proof,Results,"[X] treatments performed this month. [X] happy clients. Results speak."
