Day,Date,Pillar,Caption Type,Caption Number,Content Hook (First Line),Best Hashtag Set,Photo/Video Idea,Notes
1,[DATE],Educational,Hair Care Tip,Educational #3,"Stop washing your hair every day.",SET 8,"Flat lay: shampoo bottle with X over it, quality conditioner highlighted",High save potential
2,[DATE],Promotional,Booking CTA,Promotional #1,"Fades so clean they speak for themselves.",SET 4,"Your best recent fade transformation photo",Add city + booking link
3,[DATE],Behind the Scenes,Shop Life,BTS #11,"When the shop is quiet before opening:",SET 6,"Morning shop photo — clippers laid out, clean station, good lighting",Authentic and relatable
4,[DATE],Engagement,Poll/Question,Engagement #4,"Be honest. How often are you actually booking your haircut?",SET 7,"Casual photo of your chair or clippers",Drives comments and saves
5,[DATE],Promotional,Service Spotlight,Promotional #32,"Hot towel shave. The ultimate reset.",SET 11,"Close-up of straight razor or hot towel process photo",New service awareness
6,[DATE],Educational,Beard Education,Educational #5,"Beard oil vs. beard balm — what's the difference?",SET 2,"Flat lay: beard oil + balm products side by side",Save-worthy content
7,[DATE],Testimonial,Client Review,Testimonial #5,"Real feedback from a real client this week:",SET 8,"Before/after transformation photo with permission",Post real screenshot if available
8,[DATE],Promotional,Weekend Booking,Promotional #4,"Before the weekend hits — when's your appointment?",SET 4,"Your freshest work from the week",Update days/times with real availability
9,[DATE],Educational,Fade Technique,Educational #2,"The difference between a skin fade and a bald fade:",SET 1,"Side-by-side comparison of two different fade levels",Educational saves well
10,[DATE],Engagement,Community Question,Engagement #7,"Debate settled right now: Fade + beard OR clean cut with no beard?",SET 20,"Your most recent beard + fade combo shot",High engagement potential
11,[DATE],Behind the Scenes,Process Reveal,BTS #16,"Before I pick up the clippers, I spend 90 seconds just looking.",SET 6,"Short video: you studying the client before cutting",Builds trust and authority
12,[DATE],Promotional,New Client,Promotional #75,"[SHOP NAME] is accepting new clients.",SET 19,"Welcoming shop interior shot or your team smiling",Growth focus post
13,[DATE],Educational,Hairline Education,Educational #36,"Why your hairline matters more than the haircut itself:",SET 1,"Close-up of a perfectly lined up hairline",Visual proof point
14,[DATE],Testimonial,Transformation,Testimonial #2,"Before: [X] weeks overgrown, edges rough, confidence low.",SET 5,"Your best before/after split photo",Request permission first
15,[DATE],Promotional,Service Menu,Promotional #42,"What's on the menu at [SHOP NAME]:",SET 4,"Clean photo of your station or shop interior",Pin this post
16,[DATE],Educational,Beard Growth,Educational #18,"Beard growth myth: shaving makes your beard grow thicker and faster.",SET 3,"Close-up of a well-maintained beard",Myth-busting = high reach
17,[DATE],Engagement,Memory/Story,Engagement #28,"What was the first cut you can remember getting as a kid?",SET 20,"Old-school barbershop vibe photo or your earliest shop photo",High comment rate
18,[DATE],Behind the Scenes,Tools of the Trade,BTS #4,"Tools of the trade:",SET 6,"Clean flat lay of your professional tools",Professional and aspirational
19,[DATE],Promotional,Social Proof,Promotional #18,"[NUMBER] 5-star reviews and counting.",SET 4,"Screenshot of your Google rating or review compilation",Trust builder
20,[DATE],Educational,Products Guide,Educational #51,"Pomade vs. clay vs. cream: a quick reference.",SET 8,"Three product types laid out clearly labeled",Save-worthy resource
21,[DATE],Testimonial,Long-Time Client,Testimonial #7,"I've been coming here for [X] years. Every cut is better than the last.",SET 8,"Photo from a regular client's recent appointment",Loyalty builds social proof
22,[DATE],Engagement,One-Word Answer,Engagement #18,"One word to describe how you feel right after a fresh cut. Go:",SET 7,"Your cleanest cut of the week",Easy to answer = maximum comments
23,[DATE],Behind the Scenes,End of Day,BTS #18,"End of day clean-up.",SET 6,"Time-lapse or photo of you cleaning station at end of day",Authentic work ethic content
24,[DATE],Promotional,Referral Program,Promotional #20,"Bring a friend. Get rewarded.",SET 4,"Friendly photo with two clients or your team",Growth and retention
25,[DATE],Educational,Face Shape Guide,Educational #19,"Your haircut should match your face shape. Here's the quick guide:",SET 1,"Illustrated graphic or side-by-side cuts for different face shapes",Save-worthy guide
26,[DATE],Engagement,Barber Loyalty,Engagement #19,"Do you stay loyal to one barber or do you rotate?",SET 7,"Candid shot of you and a regular client",Brings out strong opinions
27,[DATE],Behind the Scenes,Milestone/Story,BTS #46,"Milestone: [X] years at [SHOP NAME].",SET 6,"Throwback photo of the shop or your first professional photo",Emotional and personal
28,[DATE],Promotional,Holiday/Seasonal,Promotional #63,"Holiday booking is officially open.",SET 9,"Holiday-themed shop decoration or festive photo",Use for upcoming holiday
29,[DATE],Educational,Winter Hair Tips,Educational #22,"Why does hair feel different in different weather?",SET 8,"Before/after product results or seasonal styling photo",Seasonal relevance
30,[DATE],Testimonial,Best Review of the Month,Testimonial #40,"The review that made our week:",SET 8,"Your best transformation of the month with review overlay","End the month strong — recap"
